标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
小区位置好， 景观楼层，视野好，满5唯一，户型正,盛岸花园三期 ,山北, 115万,"11,212元/平",2室2厅 , 102.57平米 , 南 , 精装 , 高楼层,共13层, 板楼
此房满五唯一，户型南北通风，地铁口，出行方便,沁园新村 ,清名桥, 163万,"12,464元/平",3室1厅 , 130.78平米 , 南 北 , 简装 , 低楼层,共6层, 板楼
此房 户型方正，客厅带窗， 崇宁路OK 八佰伴 小娄巷,进士坊巷小区 ,三阳广场, 123万,"28,263元/平",1室1厅 , 43.52平米 , 南 , 精装 , 中楼层,共6层, 板楼
宁海里二期 3楼  采光无遮挡  诚意出售 价格可谈,宁海里二期 ,上马墩, 72万,"10,176元/平",2室1厅 , 70.76平米 , 南 , 精装 , 中楼层,共8层, 板楼
天悦紫园 2室1厅 南,天悦紫园 ,广益, 128万,"15,235元/平",2室1厅 , 84.02平米 , 南 , 精装 , 低楼层,共31层, 板楼
次新房    视野开阔  精装修   拎包入住  侨谊明德,融创运河壹号府二期 ,清名桥, 240万,"22,529元/平",3室2厅 , 106.53平米 , 南 , 精装 , 中楼层,共33层, 板楼
九龙仓碧玺大三房110平 清水毛坯 视野好 房东诚心出售,九龙仓碧玺A区 ,扬名, 239万,"21,462元/平",3室1厅 , 111.36平米 , 南 , 毛坯 , 高楼层,共19层, 板楼
通透格局，采光好， 小区环境好，交通便利，配套好,盛世家园二期 ,民丰/庄前, 180万,"15,522元/平",3室2厅 , 115.97平米 , 南 , 简装 , 高楼层,共16层, 板楼
梁溪区 城西花园 纯洋房 大户型 位置安静 全新精装修,城西花园 ,山北, 200万,"14,948元/平",3室2厅 , 133.8平米 , 南 , 精装 , 中楼层,共5层, 板楼
南长街旁！精装修！从未入住！三开间朝南！全天采光！,融创运河壹号府三期 ,清名桥, 180万,"20,184元/平",3室2厅 , 89.18平米 , 南 北 , 精装 , 中楼层,共25层, 板楼
南长街旁（花园洋房中间层，不靠路）全屋空调！带地暖,公元九里 ,塘南, 350万,"27,223元/平",4室2厅 , 128.57平米 , 南 北 , 精装 , 中楼层,共11层, 板楼
中山路积余街，积余街，江阴巷小区,江阴巷 ,北大街, 102万,"11,719元/平",2室1厅 , 87.04平米 , 南 , 精装 , 高楼层,共8层, 板楼
龙塘家园电梯单间  视野采光佳  看房方便诚心出售,龙塘家园 ,黄巷, 49万,"8,608元/平",1室1厅 , 56.93平米 , 南 , 简装 , 高楼层,共15层, 板塔结合
进士坊巷小区 1室1厅 南,进士坊巷小区 ,三阳广场, 110万,"25,276元/平",1室1厅 , 43.52平米 , 南 , 精装 , 低楼层,共6层, 板楼
品质小区一梯两户自住装修保养好 楼层 采光视野无遮挡,富城湾 ,黄巷, 140万,"12,284元/平",3室2厅 , 113.97平米 , 南 北 , 精装 , 高楼层,共11层, 板楼
1楼带院子，采光无遮挡，看房方便，诚心卖，急急急,柴机新村 ,塘南, 110万,"21,017元/平",1室1厅 , 52.34平米 , 南 , 简装 , 低楼层,共4层, 板楼
积余街 户型方正 满五唯一 中间楼层 急卖,莲蓉园 ,北大街, 225万,"16,409元/平",3室2厅 , 137.12平米 , 南 , 精装 , 中楼层,共11层, 板楼
田基浜，简单装修，有个院子， 户型方正！！！,田基浜西区 ,三阳广场, 145万,"23,752元/平",2室1厅 , 61.05平米 , 南 , 简装 , 低楼层,共7层, 板楼
连元街 精装修拧包入住 户型方正 配套成熟 诚心出售,道长巷 ,三阳广场, 178万,"22,725元/平",3室1厅 , 78.33平米 , 南 , 精装 , 低楼层,共7层, 板楼
shu bao可用，总高11的中间楼层，好房,阳光城市花园C区 ,中桥, 324万,"22,908元/平",3室2厅 , 141.44平米 , 南 , 精装 , 中楼层,共11层, 板塔结合
梧桐水岸次新小区 积余  中上楼层，带全屋空调,梧桐水岸花园B区 ,黄巷, 186万,"16,099元/平",3室2厅 , 115.54平米 , 东南 , 精装 , 中楼层,共32层, 板楼
清扬康臣 精装修好楼层 视野佳 诚心出售,清扬康臣 ,扬名, 79万,"16,186元/平",1室1厅 , 48.81平米 , 南 , 精装 , 中楼层,共33层, 板楼
金色山北 协信天渝骄园三房 清水毛坯 东林科园,天渝骄园 ,山北, 128万,"12,007元/平",3室2厅 , 106.61平米 , 南 , 毛坯 , 中楼层,共34层, 板楼
一楼带大院子有40多个平方，装修40万，阳光满满,富城湾 ,黄巷, 126万,"16,832元/平",2室1厅 , 74.86平米 , 南 , 精装 , 低楼层,共11层, 板塔结合
映山华庭 靠崇安寺 近苏宁广场 东林广场,映山华庭 ,三阳广场, 252万,"20,470元/平",2室2厅 , 123.11平米 , 南 , 简装 , 低楼层,共27层, 塔楼
东宝康园 三房两厅两卫 看房方便 诚心出售,东宝康园 ,扬名, 205万,"17,580元/平",3室2厅 , 116.61平米 , 南 , 精装 , 中楼层,共33层, 板楼
地铁站旁五河新村 小区中间位置 中间楼层 诚心出售,五河新村 ,黄巷, 70万,"10,858元/平",2室1厅 , 64.47平米 , 南 , 简装 , 中楼层,共6层, 板楼
大润发野花园一室在售，不是顶楼。户型楼层好！,野花园 ,广瑞/广丰, 38万,"8,471元/平",1室1厅 , 44.86平米 , 南 北 , 简装 , 高楼层,共6层, 板塔结合
芦庄六区 1室1厅 南,芦庄六区 ,扬名, 50万,"11,004元/平",1室1厅 , 45.44平米 , 南 , 简装 , 中楼层,共7层, 板楼
龙塘家园 楼层好 采光无遮挡 诚心出售,龙塘家园 ,黄巷, 40万,"8,289元/平",1室1厅 , 48.26平米 , 南 , 简装 , 中楼层,共6层, 板楼
21年新装修，品牌家具家电，积余近地铁，带双院子,老轻院小区 ,黄巷, 99万,"16,935元/平",2室1厅 , 58.46平米 , 南 , 精装 , 低楼层,共6层, 板塔结合
年华里 前排中高层  诚意出售 满五唯一,九龙仓时代上城C区 ,中桥, 170万,"19,149元/平",2室2厅 , 88.78平米 , 南 北 , 简装 , 中楼层,共34层, 板楼
东林分校旁，保利融侨毛坯三房。楼层位置好！,保利融侨时光印象 ,广益, 148万,"15,350元/平",3室2厅 , 96.42平米 , 南 , 毛坯 , 高楼层,共34层, 板楼
世茂时光里 二期  毛坯三房 带露台 看房方便 诚心出售,世茂时光里 ,北大街, 130万,"12,859元/平",3室2厅 , 101.1平米 , 南 , 毛坯 , 低楼层,共48层, 塔楼
自住精装 洋房顶复  随时看房 采光佳 阳光房  露台,金科世界城B区 ,中桥, 430万,"21,139元/平",3室1厅 , 203.42平米 , 南 , 精装 , 高楼层,共7层, 板楼
精装三房。中。央空调，户型方正，拎包入住,天渝骄园 ,山北, 135万,"14,407元/平",3室2厅 , 93.71平米 , 南 , 精装 , 高楼层,共33层, 板楼
南长街旁（采光好，无遮挡）诚心卖，看中可谈，中间层,公元九里 ,塘南, 230万,"21,098元/平",3室2厅 , 109.02平米 , 南 北 , 精装 , 高楼层,共34层, 板楼
塔影一村 2室1厅 南,塔影一村 ,上马墩, 66万,"11,736元/平",2室1厅 , 56.24平米 , 南 , 简装 , 低楼层,共6层, 板楼
纯毛坯 采光好 户型方正 一梯两户小高层 得房率高,海伦堡·梁溪本源 ,山北, 150万,"13,923元/平",3室2厅 , 107.74平米 , 南 北 , 毛坯 , 低楼层,共18层, 塔楼
荷花里前排带院子采光未遮挡 积余可用,荷花里小区 ,北大街, 84万,"15,422元/平",1室1厅 , 54.47平米 , 南 , 简装 , 低楼层,共7层, 板楼
小天鹅乐园，房龄新，装修保养好，人车分流，绿城物业,小天鹅南苑 ,山北, 163万,"14,804元/平",3室2厅 , 110.11平米 , 南 , 精装 , 低楼层,共34层, 板楼
中间楼层无遮挡采光视野好三房两卫户型通透性强,融创运河壹号府一期 ,清名桥, 215万,"20,047元/平",3室2厅 , 107.25平米 , 南 , 毛坯 , 低楼层,共33层, 板楼
金星家园，安置房，房龄新，看房方便,金星家园 ,中桥, 83万,"10,866元/平",2室1厅 , 76.39平米 , 南 , 简装 , 中楼层,共26层, 板楼
南长街可用，中间楼层，诚心卖，看中可谈,塘南新村 ,塘南, 85万,"15,149元/平",2室1厅 , 56.11平米 , 南 北 , 简装 , 中楼层,共6层, 板塔结合
店长推荐： 宁海里一楼带院子 院门已经开好 看房随时,宁海里北区 ,上马墩, 86万,"13,680元/平",2室1厅 , 62.87平米 , 南 , 简装 , 低楼层,共7层, 平房
地铁口 次新房 纯毛坯 楼层采光充足，诚心出售,国美南长华府 ,清名桥, 204万,"20,331元/平",3室1厅 , 100.34平米 , 南 , 毛坯 , 中楼层,共26层, 暂无数据
电梯，方正两房，采光视线好，房东诚心出售,龙塘家园 ,黄巷, 65万,"6,512元/平",2室2厅 , 99.83平米 , 南 北 , 毛坯 , 低楼层,共15层, 板楼
万科运河传奇 精装修 4房2厅2卫 业主诚心出售,万科运河传奇 ,扬名, 243万,"19,283元/平",4室2厅 , 126.02平米 , 南 , 精装 , 中楼层,共30层, 板楼
孔雀雅园高层大面积，景观视野拎包住，看房联系维护人,孔雀雅园二区 ,扬名, 240万,"17,018元/平",3室2厅 , 141.03平米 , 南 , 精装 , 高楼层,共33层, 板楼
清扬新村 靠地铁 中层精装2房 通风采光好 有钥匙,清扬新村 ,清名桥, 75万,"13,524元/平",2室2厅 , 55.46平米 , 南 , 精装 , 中楼层,共6层, 板楼
业主诚心出售，C区双阳台好房震撼来袭,九龙仓时代上城C区 ,中桥, 168万,"19,078元/平",2室1厅 , 88.06平米 , 南 , 精装 , 低楼层,共34层, 板楼
金马国际  看房方便 采光好 诚心出售,金马国际花园 ,五爱广场, 195万,"17,342元/平",3室2厅 , 112.45平米 , 南 , 精装 , 中楼层,共29层, 板楼
带车位 南北 双阳台 精装 小高层 四房 颐和湾公寓,颐和湾公寓 ,北大街, 278万,"18,180元/平",4室2厅 , 152.92平米 , 南 , 精装 , 中楼层,共11层, 板楼
塘南新村 中间楼层，采光通透，成套户型,塘南新村 ,塘南, 86万,"15,062元/平",2室1厅 , 57.1平米 , 南 , 简装 , 中楼层,共7层, 板塔结合
繁华里精装带地暖大3房中间楼层诚心售,九龙仓时代上城D区 ,中桥, 210万,"17,316元/平",3室2厅 , 121.28平米 , 南 , 精装 , 中楼层,共37层, 板楼
电梯小高层 保养装修很好 3开间朝南双阳台,城西花园 ,山北, 185万,"14,302元/平",3室2厅 , 129.36平米 , 南 北 , 精装 , 高楼层,共10层, 板楼
金科观天下 边套 南北通透 2+1户型,金科观天下 ,上马墩, 142万,"15,574元/平",3室2厅 , 91.18平米 , 南 北 , 精装 , 低楼层,共32层, 板楼
70年产权，电梯房，房龄新，诚心出售！,钱龙尊邸 ,北大街, 60万,"12,904元/平",1室1厅 , 46.5平米 , 西南 , 简装 , 中楼层,共30层, 塔楼
低总价 精装修 可拎包入住 电梯房,阳光城市花园C区 ,中桥, 158万,"21,271元/平",2室1厅 , 74.28平米 , 西 北 , 精装 , 低楼层,共15层, 板塔结合
中联新村 3楼 小三房  房东自住装修 71.54平 拎包住,中联新村 ,中桥, 88万,"12,301元/平",3室1厅 , 71.54平米 , 南 北 , 精装 , 中楼层,共6层, 板楼
芦庄一区中低楼层 配套成熟 看房方便,芦庄一区 ,扬名, 77万,"10,977元/平",2室1厅 , 70.15平米 , 南 , 简装 , 中楼层,共6层, 板塔结合
百岁苑小区 3室2厅 南,百岁苑小区 ,三阳广场, 188万,"17,329元/平",3室2厅 , 108.49平米 , 南 , 精装 , 中楼层,共8层, 板楼
清扬康臣 精装修 未占用 看房预约,清扬康臣 ,扬名, 89.9万,"18,423元/平",1室1厅 , 48.8平米 , 南 , 精装 , 低楼层,共35层, 板楼
九龙仓年华里精装大三房诚心出售,九龙仓时代上城C区 ,中桥, 230万,"18,937元/平",3室2厅 , 121.46平米 , 南 北 , 精装 , 低楼层,共34层, 板楼
交通便利，拎包入住，采光好，装修不错,金科世界城C区 ,中桥, 145万,"16,694元/平",2室1厅 , 86.86平米 , 南 , 精装 , 中楼层,共34层, 板楼
惊喜价实惠好房急售未入住随时看房诚心可谈,融创大塘御园 ,黄巷, 168万,"18,922元/平",3室2厅 , 88.79平米 , 南 , 精装 , 高楼层,共34层, 板楼
融创大塘洋房  拎包入住 三开间朝南 视野开阔.,融创大塘御园 ,黄巷, 290万,"22,431元/平",4室2厅 , 129.29平米 , 南 , 精装 , 中楼层,共11层, 板楼
精装2房，首付12万左右，诚心出售,双河二村 ,山北, 52万,"8,472元/平",2室1厅 , 61.38平米 , 南 , 精装 , 高楼层,共7层, 板楼
88平纯毛坯带车位 117万 中上楼层 房东诚心卖 价可谈,世茂首府 ,北大街, 115万,"12,973元/平",2室2厅 , 88.65平米 , 南 , 毛坯 , 高楼层,共50层, 板楼
南禅寺旁大三房精装保养新，户型格局佳。,妙光苑 ,三阳广场, 188万,"16,459元/平",3室2厅 , 114.23平米 , 南 , 精装 , 中楼层,共7层, 板楼
电梯好楼层 诚心出售 价钱看中好谈！！！,新桥花园(梁溪区) ,北大街, 130万,"10,451元/平",3室2厅 , 124.4平米 , 南 北 , 精装 , 高楼层,共12层, 板楼
梨花家园 4室2厅 南,梨花家园 ,北大街, 165万,"12,483元/平",4室2厅 , 132.19平米 , 南 , 精装 , 中楼层,共34层, 板楼
轻院 中间楼层 好楼层 ji余 满五唯一 出行方便,老轻院小区 ,黄巷, 100万,"13,447元/平",2室1厅 , 74.37平米 , 南 北 , 简装 , 中楼层,共7层, 板塔结合
万达广场旁次新房，保利融侨户型方正楼层好，房东诚心,保利融侨时光印象 ,广益, 204万,"16,072元/平",4室2厅 , 126.93平米 , 南 , 毛坯 , 中楼层,共34层, 板楼
复地悦诚花园精装修小三房当毛坯价出业主诚售,复地悦诚花园 ,扬名, 148万,"16,727元/平",3室2厅 , 88.48平米 , 南 , 精装 , 中楼层,共33层, 板楼
产权清晰，格局好，视野宽阔，采光充足，设备齐全,嘉禾现代花城 ,三阳广场, 290万,"21,642元/平",3室2厅 , 134平米 , 南 , 精装 , 低楼层,共14层, 板楼
扬名一村 三楼 地铁口 位置佳 采光好 看房方便 诚售,扬名一村 ,清名桥, 89万,"15,060元/平",2室1厅 , 59.1平米 , 南 , 简装 , 中楼层,共6层, 板楼
诚心出售，积余单间，随时可看，价格可谈,钱龙尊邸 ,北大街, 61万,"13,119元/平",1室1厅 , 46.5平米 , 东南 , 简装 , 低楼层,共30层, 塔楼
映山华庭 2室1厅 南,映山华庭 ,三阳广场, 163万,"25,315元/平",2室1厅 , 64.39平米 , 南 , 简装 , 中楼层,共7层, 板楼
业主诚心出售 看房方便  采光无遮挡.............,黄泥头佳苑 ,广瑞/广丰, 85万,"8,370元/平",2室2厅 , 101.56平米 , 南 , 毛坯 , 低楼层,共33层, 板楼
地铁口 惠峰新村 非顶楼自住装修 户型方正,惠峰新村 ,山北, 63万,"9,592元/平",2室1厅 , 65.68平米 , 南 , 精装 , 高楼层,共6层, 板楼
采光好  出行方便  九龙仓品质小区  拎包入住,九龙仓时代上城B区 ,中桥, 145万,"16,122元/平",2室2厅 , 89.94平米 , 南 , 精装 , 低楼层,共28层, 板楼
绿城物业 地铁口 ，户型好 采光好 小高层 精装,吉宝凌云峰阁 ,民丰/庄前, 195万,"21,155元/平",3室1厅 , 92.18平米 , 南 , 精装 , 中楼层,共17层, 塔楼
精装修 拎包入住 随时看房 有钥匙,金星苑 ,中桥, 70万,"11,098元/平",2室1厅 , 63.08平米 , 南 东北 , 精装 , 低楼层,共18层, 板塔结合
商品房楼间距大居住舒适看房方便,广石家园 ,黄巷, 78万,"11,126元/平",2室2厅 , 70.11平米 , 南 , 精装 , 低楼层,共6层, 板楼
精装2房，采光好，拎包就可以入住,广丰二村 ,广瑞/广丰, 63.8万,"12,582元/平",2室1厅 , 50.71平米 , 南 , 精装 , 中楼层,共5层, 板塔结合
单价1.2万南长街，地段好，诚心出售,新江南花园 ,清名桥, 125万,"12,063元/平",3室1厅 , 103.63平米 , 南 , 简装 , 高楼层,共8层, 板楼
地铁口低总价大三房飞机户型 中高楼层景观房 东林不占,古运五爱苑A区 ,扬名, 140万,"10,790元/平",3室2厅 , 129.76平米 , 南 , 毛坯 , 中楼层,共18层, 板楼
颐和湾沿河景观房，4个阳台，3+1户型带产权车位，诚售,颐和湾公寓 ,北大街, 282万,"18,329元/平",4室2厅 , 153.86平米 , 南 , 精装 , 中楼层,共11层, 板楼
华侨城运河湾次新小区小区中间位置 房东诚心出售,华侨城运河湾C区 ,扬名, 230万,"21,109元/平",3室2厅 , 108.96平米 , 南 , 毛坯 , 低楼层,共27层, 暂无数据
好房 不靠高架 次新小区 小高层 一梯两户 得房率高,海伦堡·梁溪本源 ,山北, 108万,"13,423元/平",2室2厅 , 80.46平米 , 南 北 , 毛坯 , 中楼层,共18层, 塔楼
清扬新村 低层  可拎包入住 随时看房,清扬新村 ,清名桥, 62万,"11,140元/平",2室1厅 , 55.66平米 , 南 , 简装 , 中楼层,共7层, 板楼
上马墩地铁 小两房 房东诚心出售 价格看中可谈,春晖新村 ,上马墩, 58.8万,"9,692元/平",2室1厅 , 60.67平米 , 南 , 精装 , 高楼层,共6层, 板楼
山北品质楼盘 小天鹅乐园前排位置 房东去外地发展出售,小天鹅南苑 ,山北, 131万,"15,205元/平",2室2厅 , 86.16平米 , 南 , 精装 , 高楼层,共34层, 板楼
梁溪万达旁，房型正，采光好，业主诚心出售,广益星苑 ,广益, 75万,"8,000元/平",3室1厅 , 93.75平米 , 南 , 简装 , 低楼层,共18层, 板塔结合
公元九里次新房，精装修婚房，无遮挡采光好,公元九里 ,塘南, 195万,"21,923元/平",3室2厅 , 88.95平米 , 南 , 精装 , 低楼层,共20层, 板楼
高区楼层三开间朝南 带装修有钥匙 诚意出售 价格可谈,九龙仓时代上城C区 ,中桥, 170万,"19,149元/平",2室2厅 , 88.78平米 , 南 北 , 简装 , 高楼层,共34层, 板楼
户型方正采光好两套打通的原始户型是一单间跟一套两室,上马墩三村 ,上马墩, 37万,"11,780元/平",1室1厅 , 31.41平米 , 南 , 简装 , 低楼层,共6层, 板楼
房东诚心出售 采光刺眼户型通透,世茂国际广场 ,北大街, 148万,"13,003元/平",3室2厅 , 113.82平米 , 南 , 毛坯 , 低楼层,共46层, 板楼
梁溪区刚上市次新小区，朝南2居室户型方正房主诚心,龙塘西苑 ,黄巷, 66万,"8,308元/平",2室2厅 , 79.45平米 , 南 , 毛坯 , 中楼层,共33层, 暂无数据
小高层 中间楼层 精装修 三开间朝南 通风采光好,万科运河传奇 ,扬名, 228万,"19,865元/平",3室2厅 , 114.78平米 , 南 , 精装 , 高楼层,共18层, 平房
锡惠里中间楼层。五爱，积余，交通便利，房东诚售,锡惠里住宅小区 ,五爱广场, 66万,"15,696元/平",1室1厅 , 42.05平米 , 南 , 精装 , 中楼层,共7层, 塔楼
梧桐精装 双南双阳台 户型方正 近地铁4号 诚心出售,梧桐水岸花园 ,黄巷, 140万,"15,346元/平",2室2厅 , 91.23平米 , 南 北 , 精装 , 中楼层,共34层, 塔楼
小区位于五爱广场  采光优异 户型方正 看房有钥匙,金马国际花园 ,五爱广场, 138万,"15,695元/平",2室1厅 , 87.93平米 , 南 , 简装 , 低楼层,共29层, 板楼
房龄新 中间楼层 南北通风 客厅带窗户 有钥匙,惠龙新村F区276-325号 ,山北, 45万,"9,690元/平",1室1厅 , 46.44平米 , 南 , 简装 , 中楼层,共7层, 板楼
黄泥头佳苑 2室1厅 南,黄泥头佳苑 ,广瑞/广丰, 98万,"12,165元/平",2室1厅 , 80.56平米 , 南 , 精装 , 高楼层,共18层, 板塔结合
