标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
此房位置比较好临街，吉麦隆，农贸菜场，生活配套成熟,云丰小区 ,云亭街道, 75万,"7,329元/平",3室1厅 , 102.34平米 , 南 , 简装 , 高楼层,共6层, 板塔结合
云亭街道华诚悦府毛坯楼层好视野开阔,华诚悦府 ,云亭街道, 145万,"10,387元/平",3室2厅 , 139.61平米 , 东南 , 毛坯 , 高楼层,共18层, 板塔结合
此房格局，户型方正，楼层好采光佳，小区内部配套,弘阳通银棠樾锦园 ,云亭街道, 98万,"9,013元/平",3室1厅 , 108.74平米 , 南 , 毛坯 , 高楼层,共26层, 暂无数据
满两年 小区环境好 精装修拎包入住 楼层好 适合居住,敔山湾花园 ,云亭街道, 155万,"11,035元/平",3室2厅 , 140.47平米 , 南 , 精装 , 中楼层,共9层, 板楼
新上房源94平三室毛坯房可按自己喜欢装修,弘阳昕悦府 ,云亭街道, 86万,"9,149元/平",3室2厅 , 94平米 , 南 , 毛坯 , 中楼层,共34层, 暂无数据
南菁高中旁 小区环境鸟语花香 低密度品质小区,敔山湾花园 ,云亭街道, 145万,"10,323元/平",3室2厅 , 140.47平米 , 南 , 毛坯 , 低楼层,共9层, 板楼
云亭街道弘阳昕悦府采光无遮挡，楼层佳，户型方正布局,弘阳昕悦府 ,云亭街道, 90万,"7,678元/平",3室2厅 , 117.22平米 , 东南 , 毛坯 , 高楼层,共34层, 塔楼
精装修 楼层较好，前后无遮挡采光佳，南北通风,弘阳通银棠樾锦园 ,云亭街道, 110万,"11,143元/平",3室2厅 , 98.72平米 , 南 , 精装 , 中楼层,共24层, 暂无数据
云亭昕悦府 全新精装 看房随时,弘阳昕悦府 ,云亭街道, 93万,"9,872元/平",3室2厅 , 94.21平米 , 南 , 精装 , 低楼层,共33层, 暂无数据
云亭街道绿城水岸两房毛坯电梯房中楼层,绿城水岸 ,云亭街道, 85万,"10,167元/平",2室1厅 , 83.61平米 , 西南 , 毛坯 , 高楼层,共28层, 板塔结合
绿城水岸毛坯房，户型方正采光好，楼层好,绿城水岸 ,云亭街道, 128.8万,"9,059元/平",3室2厅 , 142.19平米 , 南 北 , 毛坯 , 中楼层,共31层, 板塔结合
绿城水岸 2室1厅 南,绿城水岸 ,云亭街道, 80万,"9,594元/平",2室1厅 , 83.39平米 , 南 , 简装 , 中楼层,共28层, 板塔结合
观景敔山湖 三开间朝南 采光无遮挡 视野开阔,金科·東方大院 ,云亭街道, 158万,"13,184元/平",3室2厅 , 119.85平米 , 南 , 毛坯 , 高楼层,共33层, 板楼
房子户型好方正，小区绿化很好 环境优雅,弘阳昕悦府 ,云亭街道, 95万,"9,162元/平",3室2厅 , 103.69平米 , 南 北 , 精装 , 中楼层,共33层, 暂无数据
价格优惠 房型好 交通出行方便,弘阳昕悦府 ,云亭街道, 110万,"8,936元/平",3室2厅 , 123.1平米 , 南 , 毛坯 , 低楼层,共6层, 暂无数据
新上房源户型方正明厨明卫楼层好采光充足环境优美。,弘阳昕悦府 ,云亭街道, 93万,"8,946元/平",3室2厅 , 103.96平米 , 南 , 精装 , 中楼层,共31层, 暂无数据
户型方正，明厨明卫，视野宽阔，采光充足,云丰小区 ,云亭街道, 88万,"7,040元/平",3室2厅 , 125平米 , 南 , 精装 , 高楼层,共6层, 暂无数据
高新区 复式下叠 带地下室 带前后大院子 位置很好,御龙湾花园二区 ,云亭街道, 248万,"13,598元/平",5室2厅 , 182.39平米 , 南 , 毛坯 , 低楼层,共6层, 板塔结合
通风效果好，小区绿化很好，环境优雅,弘阳昕悦府 ,云亭街道, 100万,"8,621元/平",3室2厅 , 116平米 , 南 北 , 毛坯 , 中楼层,共34层, 暂无数据
棠悦锦园户型好楼层中上房东诚心出售,弘阳通银棠樾锦园 ,云亭街道, 89.8万,"9,022元/平",3室2厅 , 99.54平米 , 南 , 毛坯 , 中楼层,共25层, 暂无数据
新上楼层较好，前后无遮挡采光佳，南北通风,弘阳通银棠樾锦园 ,云亭街道, 80万,"8,108元/平",3室2厅 , 98.68平米 , 南 , 毛坯 , 中楼层,共24层, 暂无数据
精装3室2厅2卫可拎包入住 看房方便,弘阳昕悦府 ,云亭街道, 98万,"9,609元/平",3室2厅 , 101.99平米 , 北 南 , 精装 , 高楼层,共34层, 暂无数据
新上楼层好  南北通风，户型方正,弘阳通银棠樾锦园 ,云亭街道, 96万,"8,958元/平",3室2厅 , 107.17平米 , 南 , 毛坯 , 高楼层,共26层, 暂无数据
"恒大翡翠上手房,三居室，诚意出售随时看",恒大翡翠华庭 ,云亭街道, 120万,"12,660元/平",3室2厅 , 94.79平米 , 南 北 , 精装 , 中楼层,共21层, 板塔结合
此房户型方正，坐北朝南，通透性好，交通出行方便,弘阳昕悦府 ,云亭街道, 84万,"8,073元/平",3室2厅 , 104.06平米 , 南 , 毛坯 , 高楼层,共34层, 暂无数据
满五唯一， 价格美丽 楼栋位置佳，楼层好采光好,绿城水岸 ,云亭街道, 74万,"8,199元/平",2室1厅 , 90.26平米 , 南 , 毛坯 , 中楼层,共28层, 板塔结合
楼栋位置佳，楼层好，通透，采光好,绿城水岸 ,云亭街道, 85万,"9,492元/平",2室1厅 , 89.55平米 , 南 , 毛坯 , 中楼层,共22层, 板塔结合
无遮挡 不对路不对角  楼层好采光充足,绿城水岸 ,云亭街道, 79.8万,"8,907元/平",2室2厅 , 89.6平米 , 南 , 毛坯 , 低楼层,共27层, 板塔结合
此房户型方正，坐北朝南，通透性好，交通出行方便,弘阳昕悦府 ,云亭街道, 110万,"8,793元/平",4室2厅 , 125.1平米 , 南 , 毛坯 , 中楼层,共6层, 暂无数据
全新毛坯，配套齐全  南北通透,弘阳昕悦府 ,云亭街道, 88万,"7,508元/平",3室2厅 , 117.22平米 , 南 北 , 毛坯 , 中楼层,共34层, 塔楼
新上此房采光充沛，中间楼层，采光好，二开间朝南,绿城水岸 ,云亭街道, 80万,"8,864元/平",2室2厅 , 90.26平米 , 南 , 毛坯 , 中楼层,共28层, 板塔结合
满两年，法式洋房，位置好楼层好，看房方便,金科东方王府 ,云亭街道, 208万,"13,888元/平",3室2厅 , 149.78平米 , 南 , 毛坯 , 中楼层,共6层, 板楼
蟠龙山公园旁，hao装联排别墅，实用600平，拎包入住！,蟠龙湾 ,高新区, 890万,"34,497元/平",5室4厅 , 258平米 , 南 , 精装 ,,, 板楼
此房户型格局合理 ，楼层好 视野开阔,乐府兰亭 ,云亭街道, 119.8万,"8,090元/平",3室2厅 , 148.09平米 , 南 , 毛坯 , 高楼层,共18层, 板塔结合
满五唯一  毛坯可根据自己喜好装修,弘建公园国际 ,临港经济开发区, 135万,"9,643元/平",3室2厅 , 140平米 , 南 北 , 毛坯 , 高楼层,共18层, 暂无数据
房屋满二，通透，采光好，户型佳，楼栋位置好,绿城水岸 ,云亭街道, 68万,"8,133元/平",2室1厅 , 83.61平米 , 南 , 简装 , 低楼层,共28层, 板塔结合
绿城小高层公寓 拎包入住 看房方便,绿城新天地 ,云亭街道, 43万,"9,838元/平",2室2厅 , 43.71平米 , 北 , 精装 , 中楼层,共19层, 板塔结合
精装湖景房，全天采光，南北通透，拎包入住,藏品裕院 ,云亭街道, 245万,"13,296元/平",4室2厅 , 184.27平米 , 南 北 , 精装 , 低楼层,共32层, 塔楼
云新小区 2室1厅 南,云新小区 ,云亭街道, 55万,"7,639元/平",2室1厅 , 72平米 , 南 , 简装 , 低楼层,共6层, 板塔结合
绿城新天地 2室2厅 南,绿城新天地 ,云亭街道, 31万,"7,093元/平",2室2厅 , 43.71平米 , 南 , 毛坯 , 中楼层,共19层, 板塔结合
二期新房，小户型，业主诚意出售。,首创瑞府 ,云亭街道, 122万,"14,083元/平",3室2厅 , 86.63平米 , 东南 , 毛坯 , 低楼层,共34层, 暂无数据
御龙湾花园二区 2室2厅 南,御龙湾花园二区 ,云亭街道, 70万,"8,829元/平",2室2厅 , 79.29平米 , 南 , 毛坯 , 高楼层,共6层, 暂无数据
首创二期次新房，位置佳，采光无遮挡，随时看,首创瑞府 ,云亭街道, 168万,"13,459元/平",4室2厅 , 124.83平米 , 南 北 , 毛坯 , 低楼层,共34层, 暂无数据
小区精装修房 户型方正 采光无遮挡 凤凰楼层,上海花园 ,高新区, 100万,"11,328元/平",3室2厅 , 88.28平米 , 南 , 精装 , 高楼层,共9层, 暂无数据
一方城现代风格精装两房楼层好，无遮挡诚信售,一方城 ,临港经济开发区, 73.8万,"8,370元/平",2室2厅 , 88.18平米 , 南 , 精装 , 中楼层,共18层, 暂无数据
小区环境好 精装修拎包入住 景区房 适合居住 视野开阔,敔山湾花园 ,云亭街道, 102.8万,"10,030元/平",2室2厅 , 102.5平米 , 南 , 精装 , 高楼层,共10层, 暂无数据
蟠龙山湿地公园旁 蟠龙湾花园 三居室精装,蟠龙湾 ,高新区, 123.8万,"12,362元/平",3室2厅 , 100.15平米 , 南 , 精装 , 高楼层,共13层, 塔楼
一方城顶复   房东诚意出售哦   看房方便,一方城 ,临港经济开发区, 129.8万,"9,207元/平",4室2厅 , 140.99平米 , 南 , 毛坯 , 高楼层,共18层, 暂无数据
绿城水岸 2室1厅 南,绿城水岸 ,云亭街道, 88万,"9,772元/平",2室1厅 , 90.06平米 , 南 , 毛坯 , 低楼层,共28层, 板塔结合
南北通风格局，小高层湖景视野好,敔山嶺秀 ,云亭街道, 280万,"15,301元/平",3室1厅 , 183平米 , 南 北 , 精装 , 低楼层,共18层, 暂无数据
此房 格局好，采光充足，楼层佳.户型方正,金科·東方大院 ,云亭街道, 160万,"10,370元/平",4室2厅 , 154.3平米 , 南 , 毛坯 , 中楼层,共33层, 板楼
次新房，新交付，楼层好，视野开阔，采光充足无遮挡,首创瑞府 ,云亭街道, 170万,"13,240元/平",4室2厅 , 128.4平米 , 南 , 毛坯 , 高楼层,共33层, 板楼
江阴国际汽车文化城 2室1厅 南,江阴国际汽车文化城 ,云亭街道, 60万,"11,253元/平",2室1厅 , 53.32平米 , 南 , 精装 , 高楼层,共15层, 板楼
东方大院，毛坯楼层好采光佳，诚意出售,金科·東方大院 ,云亭街道, 195万,"14,096元/平",3室1厅 , 138.34平米 , 南 北 , 毛坯 , 中楼层,共28层, 板楼
品质小区  户型方正   全天采光    置换急售,爱家·尊邸 ,云亭街道, 138万,"15,656元/平",3室2厅 , 88.15平米 , 南 , 毛坯 , 中楼层,共18层, 平房
江阴敔山湾湖景房南北通风看房随时,金科·東方大院 ,云亭街道, 170万,"11,039元/平",4室2厅 , 154平米 , 南 , 毛坯 , 高楼层,共33层, 板楼
敔山湾旁边，小区中间位置楼层，,乐府兰亭 ,云亭街道, 85.8万,"8,459元/平",3室2厅 , 101.44平米 , 南 , 毛坯 , 中楼层,共18层, 板塔结合
三阳台，湖景房 南北通透，家具家电全新,藏品裕院 ,云亭街道, 150万,"13,739元/平",2室2厅 , 109.18平米 , 南 北 , 精装 , 中楼层,共18层, 塔楼
山湾水榭小户型，户型方正，楼层好位置佳。,山湾水榭 ,云亭街道, 119.8万,"10,991元/平",2室2厅 , 109平米 , 南 , 毛坯 , 低楼层,共18层, 塔楼
此房户型方正，坐北朝南，通透性好，交通出行方便,弘阳昕悦府 ,云亭街道, 70万,"7,371元/平",3室1厅 , 94.97平米 , 南 , 简装 , 低楼层,共34层, 暂无数据
三开间朝南，房东从新装修，全新家具家电，诚心出售,恒大翡翠华庭 ,云亭街道, 140万,"13,865元/平",3室2厅 , 100.98平米 , 南 北 , 精装 , 低楼层,共21层, 板塔结合
弘阳昕悦府 3室1厅 南,弘阳昕悦府 ,云亭街道, 66万,"6,950元/平",3室1厅 , 94.97平米 , 南 , 简装 , 低楼层,共34层, 暂无数据
敔山湾，婚装户型方正，采光好，得房率高，诚心出售,山湾水榭 ,云亭街道, 129万,"11,835元/平",2室1厅 , 109平米 , 南 北 , 精装 , 高楼层,共18层, 塔楼
藏品裕园，毛坯房，房主诚心出售房本满二,藏品裕院 ,云亭街道, 160万,"11,340元/平",4室2厅 , 141.1平米 , 南 北 , 毛坯 , 中楼层,共32层, 塔楼
恒大翡翠华庭，精装修，南北通透，光线充,恒大翡翠华庭 ,云亭街道, 155万,"15,117元/平",3室2厅 , 102.54平米 , 南 北 , 精装 , 中楼层,共17层, 板塔结合
藏品裕院，毛坯房 户型方正，支持贷款,藏品裕院 ,云亭街道, 125万,"10,410元/平",3室1厅 , 120.08平米 , 南 北 , 毛坯 , 低楼层,共32层, 板塔结合
敔山湾刚需小三房，精装修，光线充足，南北通透,恒大翡翠华庭 ,云亭街道, 158万,"15,409元/平",3室2厅 , 102.54平米 , 南 北 , 精装 , 高楼层,共17层, 板塔结合
通透户型 楼层好 前无遮挡  小区环境优雅,华府 ,云亭街道, 128万,"13,843元/平",2室2厅 , 92.47平米 , 南 , 精装 , 中楼层,共33层, 板楼
乐府兰亭  刚需两居室 简装保养好 楼层好,乐府兰亭 ,云亭街道, 85万,"9,662元/平",2室1厅 , 87.98平米 , 南 , 简装 , 高楼层,共11层, 板塔结合
昕悦府精装修拎包入住  此价格包含地下车位,弘阳昕悦府 ,云亭街道, 130万,"9,624元/平",4室2厅 , 135.09平米 , 东 南 , 精装 , 高楼层,共33层, 暂无数据
西苑新村 2室1厅 南,西苑新村 ,高新区, 89万,"6,752元/平",2室1厅 , 131.82平米 , 南 , 简装 , 高楼层,共6层, 暂无数据
此房南北通风，交通便利，配套设施齐，交通便利,弘阳昕悦府 ,云亭街道, 120万,"8,851元/平",4室2厅 , 135.59平米 , 南 北 , 精装 , 低楼层,共34层, 暂无数据
金众香颂里，一层无遮挡，户型方正，采光好,金众香颂里 ,云亭街道, 110万,"11,423元/平",3室1厅 , 96.3平米 , 南 北 , 毛坯 , 低楼层,共22层, 板楼
藏品毛坯，高楼层，户型方正采光好,藏品裕院 ,云亭街道, 132万,"10,701元/平",3室2厅 , 123.36平米 , 南 北 , 毛坯 , 高楼层,共32层, 塔楼
户型方正南北通透 精装修带地下室，带院子,金科·東方大院 ,云亭街道, 400万,"21,506元/平",4室2厅 , 186平米 , 南 北 , 精装 , 低楼层,共6层, 板楼
山水绿城洋房，大三房，带露台。,山水绿城 ,云亭街道, 135万,"9,061元/平",3室2厅 , 149平米 , 南 , 精装 , 低楼层,共11层, 板塔结合
藏品裕院 精装修 三朝南 房主急售,藏品裕院 ,云亭街道, 149.8万,"12,481元/平",3室2厅 , 120.03平米 , 南 , 精装 , 中楼层,共32层, 板塔结合
楼层好 位置佳 精装三居室 家具家电齐全,乐府兰亭 ,云亭街道, 145万,"10,215元/平",3室2厅 , 141.96平米 , 南 , 精装 , 中楼层,共9层, 板塔结合
湖景，南北通透精装，三阳台 全天采光,藏品裕院 ,云亭街道, 155万,"12,815元/平",3室2厅 , 120.96平米 , 南 北 , 精装 , 中楼层,共32层, 暂无数据
此房满五，背山面水，户型方正，离医院近，前排,藏品裕院 ,云亭街道, 140万,"11,987元/平",3室2厅 , 116.8平米 , 南 , 精装 , 低楼层,共25层, 塔楼
业主自住装修，诚心出售，看房方便,恒大帝景 ,澄江街道, 150万,"11,987元/平",3室2厅 , 125.14平米 , 南 , 精装 , 高楼层,共33层, 塔楼
江阴市云亭街道 品质小区绿城水岸 低密度住宅 通透好,绿城水岸 ,云亭街道, 128万,"8,838元/平",3室2厅 , 144.84平米 , 南 , 毛坯 , 中楼层,共28层, 板塔结合
楼层号房东 诚心出售价位可谈随时可看房,弘阳通银棠樾锦园 ,云亭街道, 90万,"8,446元/平",3室2厅 , 106.57平米 , 南 , 毛坯 , 中楼层,共24层, 暂无数据
绿城水岸两房，通透，格局方正，楼层好，诚意出售,绿城水岸 ,云亭街道, 90万,"10,765元/平",2室2厅 , 83.61平米 , 南 , 精装 , 中楼层,共28层, 板塔结合
敔山湾花园 2室1厅 南,敔山湾花园 ,云亭街道, 79万,"11,173元/平",2室1厅 , 70.71平米 , 南 , 毛坯 , 高楼层,共8层, 暂无数据
暨阳府璟宸 精装修 四室两厅两卫 空调地暖新风,暨阳府璟宸 ,澄江街道, 238万,"16,508元/平",4室2厅 , 144.18平米 , 南 , 毛坯 , 高楼层,共18层, 暂无数据
恒大帝景 1室1厅 北,恒大帝景 ,澄江街道, 40万,"9,568元/平",1室1厅 , 41.81平米 , 北 , 精装 , 低楼层,共33层, 板楼
此房南北通风楼层好采光足交通便利配套设施齐交通,弘阳昕悦府 ,云亭街道, 90万,"6,628元/平",3室2厅 , 135.8平米 , 南 北 , 毛坯 , 高楼层,共27层, 暂无数据
朝南户型，挑高四米八，采光刺眼，房东诚心出售。,江阴国际汽车文化城 ,云亭街道, 42万,"6,556元/平",1室0厅 , 64.07平米 , 南 , 毛坯 , 高楼层,共15层, 板塔结合
此房不满二，前排，院子大，有地下室，下叠,爱家·尊邸 ,云亭街道, 390万,"20,414元/平",5室3厅 , 191.05平米 , 南 , 毛坯 , 低楼层,共1层, 暂无数据
不满二，高得房率，环境好低密社区,融创敔山桃源 ,云亭街道, 285万,"18,511元/平",4室2厅 , 153.97平米 , 南 , 毛坯 , 低楼层,共6层, 暂无数据
楼层好，位置佳，精装修，采光无遮挡，税金各自,藏品裕院 ,云亭街道, 168万,"10,091元/平",4室2厅 , 166.49平米 , 南 , 精装 , 低楼层,共32层, 塔楼
此房满五，背山面水，户型方正，离医院近，湖景房,藏品裕院 ,云亭街道, 140万,"11,996元/平",3室2厅 , 116.71平米 , 南 , 精装 , 中楼层,共25层, 塔楼
满五唯一，纯毛坯，好楼层，采光充足，看房方便,团结家园 ,高新区, 90万,"8,523元/平",2室1厅 , 105.6平米 , 南 , 毛坯 , 高楼层,共13层, 塔楼
蟠龙山公园旁 香樟公馆法式纯洋房 三朝南三居室户型好,香樟公馆 ,高新区, 119万,"9,690元/平",3室2厅 , 122.81平米 , 南 , 毛坯 , 中楼层,共5层, 暂无数据
南菁高中旁 小区环境鸟语花香 高楼层全天采光 纯毛坯,敔山湾花园 ,云亭街道, 85.8万,"8,476元/平",3室2厅 , 101.23平米 , 南 北 , 毛坯 , 高楼层,共10层, 板塔结合
蟠龙山公园旁 四开间朝南洋房 双阳台 楼层佳 全天采光,融创江南御园 ,高新区, 135万,"9,686元/平",3室2厅 , 139.39平米 , 南 北 , 毛坯 , 中楼层,共11层, 板塔结合
满五唯一，低楼层 地理位置好，明厨明卫，采光无遮挡,敔山湾花园 ,云亭街道, 85万,"8,272元/平",2室2厅 , 102.76平米 , 南 北 , 毛坯 , 低楼层,共10层, 板塔结合
云亭绿城水岸简装两房电梯房高层,绿城水岸 ,云亭街道, 90万,"9,972元/平",2室1厅 , 90.26平米 , 南 , 简装 , 高楼层,共28层, 板塔结合
城东高新区 纯毛坯两居室 户型方正 全天采光,乐府兰亭 ,云亭街道, 85万,"8,380元/平",2室2厅 , 101.44平米 , 南 , 毛坯 , 低楼层,共18层, 板塔结合
白鹭湾小三室户型 三开间朝南 户型方正,江阴碧桂园白鹭湾 ,高新区, 102万,"10,060元/平",3室2厅 , 101.4平米 , 南 , 精装 , 中楼层,共28层, 塔楼
恒大翡翠华庭，精装修新房，采光好楼层好,恒大翡翠华庭 ,云亭街道, 120万,"12,660元/平",3室2厅 , 94.79平米 , 南 北 , 精装 , 低楼层,共21层, 板塔结合
敔山湾小面积商品房，高楼层采光好，精装修拎包入住,金科·東方大院 ,云亭街道, 85万,"16,512元/平",1室1厅 , 51.48平米 , 南 北 , 精装 , 高楼层,共28层, 板楼
碧桂园天玺三室两厅精装修低层房,碧桂园天玺 ,南闸街道, 135万,"11,125元/平",3室2厅 , 121.35平米 , 南 , 精装 , 低楼层,共31层, 暂无数据
换房诚意出+一个车位 前后无遮挡采光佳,弘阳通银棠樾锦园 ,云亭街道, 115.8万,"9,325元/平",3室2厅 , 124.19平米 , 南 , 毛坯 , 中楼层,共9层, 暂无数据
电梯房两房毛坯中间楼层诚意出售,绿城水岸 ,云亭街道, 75万,"8,486元/平",2室1厅 , 88.39平米 , 南 , 毛坯 , 高楼层,共22层, 板塔结合
此房满二，户型方正采光充足，精装修拎包入住，带车库,西苑二村(南) ,高新区, 65万,"8,590元/平",2室2厅 , 75.67平米 , 南 北 , 精装 , 高楼层,共6层, 板塔结合
房子满两年 精装房 采光无遮挡 户型方正 带朝南车库,石牌一村 ,高新区, 118万,"8,783元/平",4室2厅 , 134.36平米 , 南 , 精装 , 中楼层,共5层, 塔楼
南北通风，户型方正，中间楼层，诚心卖,碧桂园天玺 ,南闸街道, 136万,"11,216元/平",3室2厅 , 121.26平米 , 南 , 精装 , 中楼层,共30层, 板楼
永安二村 三房两卫户型 居家装修,永安二村 ,澄江街道, 126万,"9,937元/平",3室2厅 , 126.8平米 , 南 , 精装 , 高楼层,共6层, 暂无数据
云新二村 2室2厅 南,云新二村 ,云亭街道, 89.5万,"8,945元/平",2室2厅 , 100.06平米 , 南 , 毛坯 , 中楼层,共10层, 板塔结合
此房满二，南北通风  交通便利，配套设施齐,弘阳昕悦府 ,云亭街道, 76万,"8,003元/平",3室2厅 , 94.97平米 , 南 北 , 毛坯 , 高楼层,共34层, 暂无数据
蟠龙湾 2室1厅 南,蟠龙湾 ,高新区, 112.8万,"12,601元/平",2室1厅 , 89.52平米 , 南 , 精装 , 低楼层,共13层, 塔楼
精装修小户型房本满二房主诚心出售,金科·東方大院 ,云亭街道, 83.8万,"16,279元/平",1室1厅 , 51.48平米 , 南 , 精装 , 高楼层,共28层, 板楼
白鹭湾精装修  家具家电齐全 拎包即住 楼层采光好,江阴碧桂园白鹭湾 ,高新区, 108万,"10,717元/平",2室2厅 , 100.78平米 , 南 , 精装 , 高楼层,共32层, 塔楼
南菁高中旁 精装修一居室 中间楼层 70年产权住宅,敔山湾花园 ,云亭街道, 48万,"10,194元/平",1室1厅 , 47.09平米 , 北 , 精装 , 中楼层,共9层, 板塔结合
四朝南，户型方正，南北通风，采光充足好楼层，带车位,碧桂园天玺 ,南闸街道, 168万,"11,771元/平",4室2厅 , 142.73平米 , 南 北 , 精装 , 中楼层,共18层, 板楼
蟠龙湾花园带院子别墅 位置很好 带两个车位 采光很好,蟠龙湾 ,高新区, 328万,"12,343元/平",5室2厅 , 265.74平米 , 南 , 毛坯 , 低楼层,共3层, 暂无数据
三开间朝南，房东从新装修，全新家具家电，诚心出售,恒大翡翠华庭 ,云亭街道, 128.8万,"12,756元/平",3室2厅 , 100.98平米 , 南 北 , 精装 , 高楼层,共21层, 板塔结合
住宅环境优美治安管理严谨房东诚心出售,美好锦宸熙园 ,云亭街道, 138万,"9,734元/平",4室2厅 , 141.78平米 , 南 , 精装 , 低楼层,共17层, 暂无数据
