标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
波普洋房6楼 满五唯一飞机户型看房方便居住舒适,阳光100国际新城南区 ,刘潭, 133万,"9,789元/平",3室2厅 , 135.88平米 , 南 , 精装 , 中楼层,共9层, 板塔结合
北区洋房飞机户型  满五唯一精装居住舒适 诚心出售,阳光100国际新城北区 ,西漳, 143万,"11,346元/平",3室2厅 , 126.04平米 , 南 , 精装 , 中楼层,共10层, 板楼
满五唯一复式视野无遮挡 随时看房无遮挡无抵押！！,阳光100国际新城南区 ,刘潭, 80万,"10,224元/平",2室2厅 , 78.25平米 , 东 , 精装 , 中楼层,共33层, 板塔结合
急售清水湾三房两卫  楼层好采光刺眼，装修保养好,华夏清水湾 ,堰桥, 188万,"11,831元/平",3室2厅 , 158.91平米 , 南 , 精装 , 中楼层,共13层, 板楼
新著四叶草俩卫通透户型，楼层适中,万科天一新著 ,西漳, 210万,"16,905元/平",4室2厅 , 124.23平米 , 南 , 精装 , 中楼层,共34层, 板楼
此房为三房 的户型南北对流，房东诚心出售。,阳光100阿尔勒 ,西漳, 108万,"10,568元/平",3室2厅 , 102.2平米 , 南 , 精装 , 低楼层,共26层, 板楼
西溪碧桂园 电梯7楼 采光好 楼层佳 简单装修 随时看,西溪碧桂园 ,钱桥, 109万,"11,438元/平",3室2厅 , 95.3平米 , 南 , 精装 , 中楼层,共18层, 板楼
中间楼层，采光好，金桥旁，房东诚心。,时代城（锡溪名邸） ,钱桥, 115万,"11,926元/平",3室2厅 , 96.43平米 , 南 , 精装 ,,, 板楼
全屋壁暖，玉兰精装三房好位置，拎包即住优价出,玉兰公馆三区 ,堰桥, 139.8万,"16,162元/平",3室2厅 , 86.5平米 , 南 , 精装 , 低楼层,共33层, 平房
电梯洋房，精装修，有钥匙，看房方便,沁春园 ,西漳, 160万,"12,669元/平",3室2厅 , 126.3平米 , 南 , 精装 , 高楼层,共11层, 板楼
房东想把房子卖了买上海的房子 随时看房,时代城（锡溪名邸） ,钱桥, 148万,"11,652元/平",4室2厅 , 127.02平米 , 南 北 , 精装 , 低楼层,共34层, 板楼
1号线玉兰公馆一区 精装三房 满五唯一 诚心售随时看,玉兰公馆一区 ,堰桥, 148万,"15,392元/平",3室2厅 , 96.16平米 , 南 , 精装 , 低楼层,共32层, 板楼
总高13层洋房 家具家电花了30万 全留 诚心出售,万科天一玖著 ,西漳, 210万,"19,021元/平",3室2厅 , 110.41平米 , 南 , 精装 , 低楼层,共13层, 板楼
万科电梯洋房 好楼层 一梯一户 四开间朝南 南北通风,万科天一玖著 ,西漳, 278万,"21,494元/平",4室2厅 , 129.34平米 , 南 , 精装 , 高楼层,共13层, 板楼
阿尔勒次新房 自住装修保养好 中高楼层采光好视野..,阳光100阿尔勒 ,西漳, 145万,"12,506元/平",3室2厅 , 115.95平米 , 南 , 精装 , 中楼层,共34层, 板楼
此房为三房 的户型房东诚心出售,阳光100阿尔勒 ,西漳, 98万,"10,886元/平",3室2厅 , 90.03平米 , 南 , 精装 , 低楼层,共34层, 板楼
阳光100阿尔勒。装修好两房，中间楼层，次新小区急卖,阳光100阿尔勒 ,西漳, 79万,"10,750元/平",2室2厅 , 73.49平米 , 南 , 精装 , 中楼层,共34层, 板楼
明发东区！精装大三房2卫！诚心急售！看中可以谈,明发·国际新城（东区） ,西漳, 158万,"11,948元/平",3室2厅 , 132.24平米 , 南 北 , 精装 , 中楼层,共21层, 板楼
阿尔勒小高层三房，纯人车分流，小区环境优美,阳光100阿尔勒 ,西漳, 138万,"13,442元/平",3室1厅 , 102.67平米 , 南 , 精装 , 低楼层,共18层, 板楼
万科天一新著 次新小区   西漳公园  中间楼层,万科天一新著 ,西漳, 154万,"16,475元/平",3室1厅 , 93.48平米 , 南 , 简装 , 中楼层,共26层, 板楼
万科玖著中楼层，位置好采光无遮挡，业主诚心置换出售,万科天一玖著 ,西漳, 155万,"16,502元/平",3室2厅 , 93.93平米 , 南 , 精装 , 中楼层,共33层, 板楼
人车分流 环境好 得房率高 配套齐全 交通便利，,阳光100阿尔勒 ,西漳, 113万,"12,434元/平",3室1厅 , 90.88平米 , 南 , 精装 , 中楼层,共18层, 板楼
万科天一玖著 4室2厅 南,万科天一玖著 ,西漳, 295万,"21,072元/平",4室2厅 , 140平米 , 南 , 精装 , 中楼层,共8层, 板楼
精装两房，房东保养不错，看房提前联系,阳光100米娅公馆 ,西漳, 110万,"12,684元/平",2室2厅 , 86.73平米 , 南 , 精装 , 低楼层,共18层, 塔楼
楼层好 采光视野好 看房随时 诚心出售,阳光100米娅公馆 ,西漳, 125万,"13,425元/平",3室2厅 , 93.11平米 , 南 , 精装 , 中楼层,共24层, 板楼
阳光100北区  看房提前预约,阳光100国际新城北区 ,西漳, 108万,"12,035元/平",2室1厅 , 89.74平米 , 东 , 精装 , 高楼层,共33层, 塔楼
房东诚心出售，三开间朝南，同户型价格实在，,阳光100米娅公馆 ,西漳, 113万,"13,029元/平",2室2厅 , 86.73平米 , 南 , 简装 , 低楼层,共18层, 板楼
金龙公寓 楼梯中间层 菜场门口 交通便利,金龙公寓一区 ,钱桥, 140万,"11,864元/平",3室2厅 , 118.01平米 , 南 北 , 精装 , 中楼层,共6层, 板楼
装修好因为工作变动要换城市，忍痛割爱,时代城（锡溪名邸） ,钱桥, 154万,"13,665元/平",3室2厅 , 112.7平米 , 南 北 , 精装 ,,, 板楼
和天一新著享受一样的配套，商品房税费少,寺头家园二期 ,西漳, 113万,"13,386元/平",2室1厅 , 84.42平米 , 南 , 精装 , 中楼层,共26层, 板楼
地铁天一站 通勤方便 看房有钥匙 房东诚心卖,太平洋城中城天一公馆 ,西漳, 65万,"9,606元/平",1室1厅 , 67.67平米 , 东 , 精装 , 中楼层,共21层, 塔楼
精装修，电梯房，楼层好，采光足，配套设施齐全,乐多花园 ,钱桥, 150万,"10,745元/平",3室2厅 , 139.61平米 , 南 , 精装 , 低楼层,共9层, 板塔结合
户型南边和北边是通风的格局，房东诚意出,欣欣山庄 ,钱桥, 84万,"9,590元/平",2室1厅 , 87.6平米 , 南 , 简装 , 高楼层,共6层, 板塔结合
天 一 城 A 区  看 房 方 便,天一城A区 ,西漳, 450万,"17,176元/平",5室2厅 , 262平米 , 南 , 精装 , 高楼层,共11层, 板楼
金岸世家，精装三房出售，满五唯一，欢迎看房。。,金岸世家二期 ,钱桥, 182万,"14,388元/平",3室2厅 , 126.5平米 , 南 , 精装 , 中楼层,共17层, 板楼
天一路高档小区 天一城  精装 房东诚心出售,天一城A区 ,西漳, 350万,"15,792元/平",6室2厅 , 221.64平米 , 南 , 精装 , 高楼层,共11层, 板楼
精装修3房，楼层位置好，采光充足，看房方便，诚心出,天力百好锦园 ,堰桥, 145万,"15,924元/平",3室2厅 , 91.06平米 , 南 , 精装 , 高楼层,共17层, 板楼
堰新家园精装修电梯两房 土出已交 产证在手 中间楼层,堰新家园 ,堰桥, 85万,"13,819元/平",2室1厅 , 61.51平米 , 南 北 , 精装 , 高楼层,共11层, 板楼
金都花园 70年产权  近万达 好出租,金都花园 ,堰桥, 120万,"21,599元/平",1室1厅 , 55.56平米 , 南 , 精装 , 高楼层,共27层, 板楼
堰新家园2房，位置好，采光充足，诚心出售,堰新家园 ,堰桥, 87万,"10,600元/平",2室2厅 , 82.08平米 , 南 , 毛坯 , 低楼层,共19层, 板楼
金都花园精装三房，满五年，楼层好，全天日照，南北通,金都花园 ,堰桥, 220万,"15,280元/平",3室2厅 , 143.98平米 , 南 北 , 精装 , 中楼层,共11层, 板楼
长馨家园大三房全新装修未入住，土出已交无贷款,长馨家园 ,堰桥, 169万,"12,058元/平",3室2厅 , 140.16平米 , 南 北 , 精装 , 低楼层,共33层, 板塔结合
祥育苑 低价房源 价格合理 户型方正 旁边配套完善,祥育苑 ,堰桥, 163万,"11,704元/平",3室2厅 , 139.27平米 , 南 北 , 精装 , 中楼层,共6层, 板楼
此房为精装三房，三开间朝南，楼层好采光佳,阳光100国际新城北区 ,西漳, 150万,"12,062元/平",3室1厅 , 124.36平米 , 南 , 简装 , 中楼层,共33层, 塔楼
产权清晰 户型方正 采光可以，通风好,阳光100国际新城北区 ,西漳, 140万,"11,258元/平",3室2厅 , 124.36平米 , 南 , 简装 , 中楼层,共33层, 塔楼
次新小区   精装修全屋硅藻泥  誠心出售,阳光100阿尔勒 ,西漳, 132万,"14,585元/平",3室2厅 , 90.51平米 , 南 , 精装 , 高楼层,共34层, 板楼
理想九期次新房 融创品质 交通便利 房东诚意出售,理想城市花园九期 ,堰桥, 280万,"22,043元/平",3室2厅 , 127.03平米 , 南 北 , 精装 , 高楼层,共24层, 暂无数据
房子楼层好万达旁生活便利拎包入住房东诚心出售,金都花园 ,堰桥, 145万,"16,696元/平",2室2厅 , 86.85平米 , 东南 , 精装 , 高楼层,共27层, 板塔结合
