标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
观山名筑南区前排 三房户型 楼层视野好 中间楼层,观山名筑南区 ,塘铁桥, 133万,"14,938元/平",2室2厅 , 89.04平米 , 南 , 简装 , 中楼层,共32层, 板楼
中海珑玺洋房 全新装修 业主诚心出售 采光好 视野开阔,中海珑玺 ,塘铁桥, 425万,"31,757元/平",4室2厅 , 133.83平米 , 南 北 , 精装 , 中楼层,共7层, 板楼
经开区，万科新酩悦，次新房，横厅设计，随时看房！,万科新酩悦 ,万象城/东绛, 200万,"21,027元/平",3室2厅 , 95.12平米 , 南 北 , 精装 , 低楼层,共25层, 板楼
满五年 全南户型 装修保养好 诚心出售,融创熙园二期 ,长广溪/大学城, 205万,"18,418元/平",3室2厅 , 111.31平米 , 南 , 精装 , 高楼层,共32层, 板楼
大箕山家园 不包土出 楼梯房 只能全款,大箕山家园 ,梅园, 48万,"7,902元/平",2室1厅 , 60.75平米 , 南 , 简装 , 高楼层,共7层, 板楼
4号线地铁口 蠡溪路社区 新出2房2厅 精装修 楼层好,蠡溪路社区 ,新体育中心, 85万,"13,540元/平",2室2厅 , 62.78平米 , 南 北 , 精装 , 中楼层,共7层, 板楼
融创天鹅湖B区，小高层，采光全天，通透户型,天鹅湖花园B区 ,长广溪/大学城, 185万,"21,042元/平",2室2厅 , 87.92平米 , 南 北 , 简装 , 中楼层,共17层, 板楼
保利洋房楼层好 现代美式装修新 三房,保利香槟国际 ,长广溪/大学城, 230万,"25,806元/平",3室1厅 , 89.13平米 , 南 , 精装 , 中楼层,共11层, 板楼
融创荣域通透三房，三开间朝南，诚心出售,融创•荣域 ,融创文化旅游城, 115万,"10,883元/平",3室2厅 , 105.67平米 , 南 , 简装 , 中楼层,共34层, 板楼
中海珑玺精装三室二卫，诚心出售，地暖,中海珑玺 ,塘铁桥, 205万,"18,581元/平",3室2厅 , 110.33平米 , 南 , 精装 , 低楼层,共34层, 板楼
太湖国际 星辉塞纳 精装修 两房 户型好,太湖国际二街区-星辉塞纳 ,万象城/东绛, 169万,"18,919元/平",2室1厅 , 89.33平米 , 南 , 精装 , 低楼层,共18层, 板楼
万科三区精装三房 楼层佳 采光好 业主诚售,魅力万科城三区 ,万象城/东绛, 238万,"22,704元/平",3室2厅 , 104.83平米 , 南 , 精装 , 高楼层,共18层, 板楼
梁南苑 小两房 户型方正 视野好,梁南苑B区 ,塘铁桥, 66万,"9,955元/平",1室1厅 , 66.3平米 , 南 , 精装 , 中楼层,共24层, 板楼
熙园五期中上楼层精装修满五年全天采光无挡，急售,融创熙园五期 ,长广溪/大学城, 173.5万,"19,427元/平",2室2厅 , 89.31平米 , 南 , 精装 , 中楼层,共28层, 板楼
凤凰一期经典大三房，基础硬装已完成,中海凤凰璟园一期 ,华庄, 295万,"23,096元/平",3室2厅 , 127.73平米 , 南 , 毛坯 , 高楼层,共11层, 板楼
太湖国际二街区-星辉塞纳 2室2厅 南,太湖国际二街区-星辉塞纳 ,万象城/东绛, 150万,"16,697元/平",2室2厅 , 89.84平米 , 南 , 毛坯 , 低楼层,共18层, 板楼
融创荣域次新小区，位置佳，户型方正，看房方便,融创•荣域 ,融创文化旅游城, 99万,"11,423元/平",2室1厅 , 86.67平米 , 南 北 , 毛坯 , 低楼层,共34层, 板楼
江南大学地铁口！改善大四房！南北双阳台！户型佳！,融创熙园三期 ,长广溪/大学城, 270万,"18,800元/平",4室2厅 , 143.62平米 , 南 北 , 精装 , 低楼层,共18层, 板楼
唐木湾 2室2厅 南 北,唐木湾 ,新体育中心, 88万,"11,748元/平",2室2厅 , 74.91平米 , 南 北 , 精装 , 低楼层,共6层, 暂无数据
此房小高层，环境好，户型方正，全明格局，配套成熟,宝能城 ,海岸城/市民中心, 192万,"17,791元/平",3室2厅 , 107.92平米 , 南 北 , 毛坯 , 中楼层,共18层, 板楼
天鹅湖小高层！房间像羽毛球场，尤其的大，区别于公寓,天鹅湖花园A区 ,长广溪/大学城, 105万,"20,081元/平",1室1厅 , 52.29平米 , 南 , 精装 , 低楼层,共18层, 板楼
急售瑞星家园电梯两房，82含土北面有平台采光无遮挡,瑞星家园 ,扬名, 64万,"8,695元/平",2室1厅 , 73.61平米 , 南 北 , 简装 , 低楼层,共18层, 板楼
电梯洋房  房东换置 双阳台 户型方正 价格好谈 诚心卖,融科玖玖城 ,海岸城/市民中心, 449万,"27,116元/平",4室2厅 , 165.59平米 , 南 , 精装 , 低楼层,共6层, 板楼
长广溪  6层洋房  一楼花园院子洋房,信义山水嘉庭 ,南泉, 348万,"29,882元/平",3室2厅 , 116.46平米 , 南 , 精装 , 低楼层,共6层, 板楼
此房满五年 精装修 小高 从未住过人 空调地暖,太湖国际二街区-星辉塞纳 ,万象城/东绛, 178万,"19,785元/平",2室1厅 , 89.97平米 , 南 , 精装 , 高楼层,共18层, 板楼
融创•荣域 2室2厅 南,融创•荣域 ,融创文化旅游城, 110万,"12,327元/平",2室2厅 , 89.24平米 , 南 , 精装 , 中楼层,共33层, 板楼
此房满2唯一，小区安静，人车分流，小高层社区，诚售,融创澜山郡 ,融创文化旅游城, 249万,"19,040元/平",3室2厅 , 130.78平米 , 南 北 , 精装 , 中楼层,共18层, 板楼
熙园五期精装三房出售，全天采光，小高层,融创熙园五期 ,长广溪/大学城, 255万,"23,488元/平",3室2厅 , 108.57平米 , 南 , 精装 , 高楼层,共18层, 板楼
3期新上房源 位置好 大三房户型通透,朗诗太湖绿珺花园 ,塘铁桥, 315万,"23,706元/平",3室2厅 , 132.88平米 , 南 , 精装 , 低楼层,共28层, 板楼
湖滨南苑 精装两房 土出已经交了，中间楼层,湖滨南苑 ,新体育中心, 98万,"15,068元/平",2室1厅 , 65.04平米 , 南 , 精装 , 中楼层,共7层, 板楼
此房满五唯一 小高层次顶楼 直面景观花园,融创熙园三期 ,长广溪/大学城, 165万,"18,736元/平",2室2厅 , 88.07平米 , 南 , 精装 , 高楼层,共18层, 板楼
丰裕苑精致小二房.满五唯一包土出及维修基金.税费少,丰裕园二期 ,长广溪/大学城, 78万,"12,787元/平",2室1厅 , 61平米 , 南 , 精装 , 低楼层,共26层, 板楼
满五年！ 楼层不错，采光全天，业主诚心出售,太湖国际二街区-聆湖社区 ,万象城/东绛, 170万,"19,345元/平",2室2厅 , 87.88平米 , 南 北 , 精装 , 高楼层,共32层, 板楼
安置房中的好小区，交通便利配套齐全,周新苑五期 ,万象城/东绛, 78万,"8,126元/平",2室1厅 , 95.99平米 , 南 , 简装 , 高楼层,共27层, 板楼
锡师\江南，清水毛坯采光整天都有地铁口,苏宁悦城悦园A区 ,塘铁桥, 240万,"19,721元/平",3室1厅 , 121.7平米 , 南 , 毛坯 , 高楼层,共33层, 板楼
融创熙园一期 119＋20 三加一户型 四房,融创熙园一期 ,长广溪/大学城, 263万,"22,101元/平",4室2厅 , 119平米 , 南 , 精装 , 低楼层,共18层, 板楼
D铁口，次新绿地天空树精装大三居，带地暖，看雪浪山,绿地天空树 ,融创文化旅游城, 199万,"15,722元/平",3室2厅 , 126.58平米 , 南 , 精装 , 中楼层,共31层, 板楼
周新苑五期大两房，楼层好，采光充足，配套设施齐全。,周新苑五期 ,万象城/东绛, 85万,"9,059元/平",2室1厅 , 93.83平米 , 南 , 毛坯 , 中楼层,共33层, 板楼
凤凰璟园二期 清水毛坯 大三房,中海凤凰璟园二期 ,华庄, 245万,"20,737元/平",3室2厅 , 118.15平米 , 南 , 毛坯 , 低楼层,共34层, 板楼
次新小区，中上楼层，采光充足，随时看房,溪湾雅苑一区 ,融创文化旅游城, 119.8万,"11,593元/平",3室2厅 , 103.34平米 , 南 , 毛坯 , 高楼层,共18层, 板楼
满五唯一，小高层带十平方四房户型！业主诚心出售！,尚锦城C区 ,塘铁桥, 240万,"20,454元/平",4室2厅 , 117.34平米 , 南 , 精装 , 低楼层,共16层, 板楼
珀丽南岸 两房朝南 采光视野佳 业主诚意出售,太湖国际一街区-珀丽南岸 ,万象城/东绛, 165万,"18,488元/平",2室2厅 , 89.25平米 , 南 , 精装 , 中楼层,共23层, 板楼
仙河苑一期 2室1厅 南,仙河苑一期 ,融创文化旅游城, 85万,"8,876元/平",2室1厅 , 95.77平米 , 南 , 精装 , 低楼层,共6层, 板楼
溪湾雅苑一区 简装三房 位置好 楼层佳 满五年,溪湾雅苑一区 ,融创文化旅游城, 135万,"12,387元/平",3室2厅 , 108.99平米 , 南 , 简装 , 中楼层,共17层, 板楼
稻香新村 南区 一居室 中间楼层,稻香新村南区 ,新体育中心, 50万,"12,386元/平",1室1厅 , 40.37平米 , 南 , 精装 , 中楼层,共7层, 板楼
东横山-育红可用-诚心出售-价格可商,东横山 ,荣巷, 47万,"9,809元/平",1室1厅 , 47.92平米 , 南 , 简装 , 中楼层,共7层, 板楼
融创荣域低总价清水毛坯大三居，诚售，有钥匙,融创•荣域 ,融创文化旅游城, 135万,"10,547元/平",3室2厅 , 128平米 , 南 , 毛坯 , 低楼层,共34层, 板楼
栖溪里精装三房，保养好  拎包入住，满五唯一少税！,融创栖溪里 ,融创文化旅游城, 128万,"13,054元/平",3室2厅 , 98.06平米 , 南 , 精装 , 中楼层,共34层, 板楼
雪溪苑A区 2室2厅 南,雪溪苑A区 ,融创文化旅游城, 90万,"10,100元/平",2室2厅 , 89.11平米 , 南 , 精装 , 中楼层,共13层, 板楼
湿地公园旁，大楼间距，次新房小高层小区，近雪浪山。,融创蓝山印象 ,融创文化旅游城, 150万,"12,946元/平",3室2厅 , 115.87平米 , 南 北 , 简装 , 低楼层,共18层, 板楼
新出水秀新村低楼层 采光无遮 看房方便 业主诚心出售,水秀新村 ,新体育中心, 50万,"11,292元/平",1室1厅 , 44.28平米 , 南 , 简装 , 低楼层,共6层, 板楼
融创栖溪里 没有个税  精装自住 家电全留装修30W,融创栖溪里 ,融创文化旅游城, 130万,"13,290元/平",2室1厅 , 97.82平米 , 南 北 , 精装 , 低楼层,共34层, 板楼
太湖湾科创带品质小区，融创兰园精装通透三居，诚售,融创•兰园 ,融创文化旅游城, 160万,"15,682元/平",3室2厅 , 102.03平米 , 南 , 精装 , 中楼层,共32层, 板楼
花语兰茵洋房精装50万，满五年唯一，好楼层，采光好,太湖国际一街区-花语莱茵 ,万象城/东绛, 315万,"24,006元/平",3室2厅 , 131.22平米 , 南 , 精装 , 中楼层,共9层, 板楼
中海珑玺  稀毛坯大三房  小高层  视野好 好楼层,中海珑玺 ,塘铁桥, 252万,"20,818元/平",3室2厅 , 121.05平米 , 南 , 毛坯 , 高楼层,共25层, 板楼
观山名筑三期精装2房 中高楼层 诚心出售,观山名筑南区 ,塘铁桥, 149万,"17,314元/平",2室2厅 , 86.06平米 , 南 , 精装 , 中楼层,共32层, 板楼
融创熙园精装大四房，现代简约装修，保养好拎包入住。,融创熙园三期 ,长广溪/大学城, 330万,"22,978元/平",4室2厅 , 143.62平米 , 南 , 精装 , 中楼层,共18层, 板楼
"边套两房，满五唯一,装修保养好，楼层不错，业主诚心",太湖国际一街区-珀丽南岸 ,万象城/东绛, 178万,"19,840元/平",2室1厅 , 89.72平米 , 南 , 精装 , 中楼层,共23层, 板楼
江大地铁！中Y空调地暖！自住精装修采光充足配套成熟,融创熙园二期 ,长广溪/大学城, 298万,"21,067元/平",4室2厅 , 141.46平米 , 南 , 精装 , 高楼层,共32层, 板楼
湖山湾A区 顶带阁 户型方正 视野好,湖山湾家园A区 ,梅园, 85万,"9,366元/平",3室2厅 , 90.76平米 , 南 北 , 简装 , 高楼层,共11层, 板楼
精装修带全屋**空调50W，全天采光，小高层,中海凤凰璟园二期 ,华庄, 370万,"28,850元/平",3室2厅 , 128.25平米 , 北 南 , 精装 , 低楼层,共9层, 板楼
恒大华府 3室2厅 南,恒大华府 ,塘铁桥, 339万,"33,718元/平",3室2厅 , 100.54平米 , 南 , 精装 , 中楼层,共10层, 板楼
经开区CBD位置，ZY空调带电地暖，边套全明拎包入住,华府天地尊园 ,海岸城/市民中心, 247万,"24,444元/平",3室1厅 , 101.05平米 , 南 , 精装 , 中楼层,共31层, 板楼
此房清水毛坯，房东诚心出售，高楼层，采光充足,印象湖滨路劲 ,湖滨商业街, 165万,"19,328元/平",3室2厅 , 85.37平米 , 南 , 毛坯 , 高楼层,共33层, 板楼
万科信成道精装小三房 拎包入住 采光好 金桥海岸城旁,万科信成道二期 ,海岸城/市民中心, 180万,"20,600元/平",3室2厅 , 87.38平米 , 南 , 精装 , 低楼层,共34层, 板楼
海岸城馨园 温馨一居室 出行交通便捷,海岸城馨园 ,海岸城/市民中心, 155万,"23,514元/平",1室1厅 , 65.92平米 , 南 , 精装 , 中楼层,共33层, 板楼
华憬佳园 2室2厅 南,华憬佳园 ,华庄, 68万,"9,480元/平",2室2厅 , 71.73平米 , 南 , 精装 , 低楼层,共15层, 板楼
万科带电梯一室，70年产权，一梯三户，朝南，位置安静,魅力万科城一区 ,万象城/东绛, 110万,"17,632元/平",1室1厅 , 62.39平米 , 南 , 精装 , 中楼层,共8层, 板楼
精装修，自住保养的很好，诚心卖，看中可谈,印象湖滨路劲 ,湖滨商业街, 198万,"19,359元/平",3室2厅 , 102.28平米 , 南 北 , 精装 , 高楼层,共27层, 板楼
经济适用房，精装，侨谊扬名旁边，适合刚需。,瑞扬家园 ,扬名, 98万,"11,200元/平",2室1厅 , 87.5平米 , 南 北 , 精装 , 低楼层,共33层, 板楼
带车位，家电全留，拎包入住，通透户型，业主诚售,太湖国际二街区-拾壹峰 ,万象城/东绛, 179万,"20,502元/平",2室2厅 , 87.31平米 , 南 , 精装 , 中楼层,共32层, 板楼
精装小三房 中上楼层 满五唯一,万科海上传奇 ,万象城/东绛, 177万,"17,952元/平",3室2厅 , 98.6平米 , 南 , 精装 , 中楼层,共34层, 板楼
朗诗熙华府 联排别墅 带花园 共三层 独门独户,新力朗诗熙华府 ,太湖山水城, 439万,"29,073元/平",4室2厅 , 151平米 , 南 , 毛坯 ,,, 板楼
婚装保养好，垫高一楼，位置安静，靠湖，诚心出售,山水湖滨花园一期 ,湖滨商业街, 144.5万,"15,726元/平",2室2厅 , 91.89平米 , 南 , 精装 , 低楼层,共5层, 板楼
海岸城郦园一期 大四房 毛坯出售,海岸城郦园 ,海岸城/市民中心, 295万,"20,701元/平",4室2厅 , 142.51平米 , 南 , 毛坯 , 中楼层,共30层, 板楼
玉兰花园西二区4-2-1-3 173.02m²诚心出售,玉兰花园西二区 ,海岸城/市民中心, 495万,"28,610元/平",4室2厅 , 173.02平米 , 南 , 毛坯 , 中楼层,共21层, 板楼
：三恒系统房 恒温恒湿恒氧 边套户型 采光好,朗诗太湖绿珺花园 ,塘铁桥, 275万,"23,579元/平",3室2厅 , 116.63平米 , 南 北 , 精装 , 高楼层,共31层, 板楼
21年全新自住精装  小区中 心位置  诚心出售,颐景花园 ,荣巷, 255万,"19,639元/平",3室1厅 , 129.85平米 , 南 , 精装 , 低楼层,共15层, 板楼
瑞星家园中间楼层，诚心出售，价格包土出,瑞星家园 ,扬名, 95万,"12,735元/平",2室1厅 , 74.6平米 , 南 北 , 精装 , 中楼层,共34层, 塔楼
红星大都汇新出朝东复式 精装修 随时看房,红星大都汇 ,长广溪/大学城, 46万,"11,623元/平",2室1厅 , 39.58平米 , 东 , 精装 , 低楼层,共13层, 塔楼
小区中间洋房，户型好，位置安静，中间楼层，视野开阔,中海凤凰璟园二期 ,华庄, 350万,"27,179元/平",4室2厅 , 128.78平米 , 南 , 毛坯 , 中楼层,共11层, 板楼
未入住 全新精装 恒温恒湿恒氧，朗诗三期，诚意出售,朗诗太湖绿珺花园 ,塘铁桥, 236万,"24,141元/平",3室2厅 , 97.76平米 , 南 , 精装 , 高楼层,共30层, 板楼
品质中海！经典户型！边套大三房！采光好！诚心卖！,中海珑玺 ,塘铁桥, 195万,"17,675元/平",3室1厅 , 110.33平米 , 南 北 , 毛坯 , 高楼层,共34层, 板楼
凤凰洋房全新装修，从未入住，带50平院子，诚心出售,中海凤凰璟园二期 ,华庄, 340万,"29,374元/平",3室2厅 , 115.75平米 , 南 北 , 精装 , 低楼层,共11层, 板楼
好房推荐南师大地铁口万象汇旁急售价格美丽,景丽苑 ,蠡湖新城, 85万,"9,674元/平",2室2厅 , 87.87平米 , 南 北 , 简装 , 中楼层,共5层, 板楼
此房户型方正，精装修，好楼层，房东诚心出售,太湖国际二街区-星辉塞纳 ,万象城/东绛, 176万,"19,615元/平",2室1厅 , 89.73平米 , 南 北 , 精装 , 高楼层,共18层, 塔楼
小高层通透3房！纯毛坯，满五年，诚心出售，安静位置,魅力万科城二区 ,万象城/东绛, 178万,"21,249元/平",3室1厅 , 83.77平米 , 南 北 , 毛坯 , 高楼层,共6层, 板楼
朗诗科技房，全新3期未住过 ，有车位诚心出售,朗诗太湖绿珺花园 ,塘铁桥, 230万,"24,479元/平",3室2厅 , 93.96平米 , 南 , 精装 , 中楼层,共32层, 板楼
三开间朝南 通透格局 采光好 视野好 近地T,苏宁悦城悦园A区 ,塘铁桥, 192万,"20,516元/平",3室2厅 , 93.59平米 , 南 , 简装 , 低楼层,共33层, 板楼
苏宁悦城D区精装修四房、拎包入住配套齐全.,苏宁悦城悦园D区 ,塘铁桥, 315万,"24,802元/平",3室2厅 , 127.01平米 , 南 , 精装 , 中楼层,共18层, 板楼
急售 融创物业 朗山三房 精装修 看房有密码,融创•朗山 ,融创文化旅游城, 150万,"12,479元/平",3室1厅 , 120.21平米 , 南 , 精装 , 低楼层,共34层, 板楼
满五且唯一，楼层好，采光好，诚心出售,太湖国际二街区-星辉塞纳 ,万象城/东绛, 155万,"17,253元/平",2室1厅 , 89.84平米 , 南 , 简装 , 低楼层,共18层, 板楼
融创兰园 精装ZY空调+地暖 中间楼层 诚心出售,融创•兰园 ,融创文化旅游城, 188万,"15,622元/平",3室2厅 , 120.35平米 , 南 , 精装 , 中楼层,共32层, 板楼
中高层楼层 近D铁 海岸城 采光视野佳,融科玖玖派 ,海岸城/市民中心, 158万,"19,741元/平",2室2厅 , 80.04平米 , 南 , 精装 , 高楼层,共27层, 板楼
信成道二期，经典户型，加装10多万，看房提前联系,万科信成道二期 ,海岸城/市民中心, 205万,"20,032元/平",3室1厅 , 102.34平米 , 南 西 , 精装 , 低楼层,共34层, 板楼
经开璟园 50万轻奢精装边套三房 洋房后排 全天采光,中海凤凰璟园二期 ,华庄, 248万,"21,154元/平",3室2厅 , 117.24平米 , 南 , 精装 , 低楼层,共34层, 板楼
银城蔚来复式，精装交付，位置好，看房方便,银城蔚来 ,塘铁桥, 45万,"11,038元/平",1室1厅 , 40.77平米 , 西 , 精装 , 高楼层,共21层, 板楼
"周新苑四期两房，d铁口,海岸城。",周新苑四期 ,万象城/东绛, 70万,"9,874元/平",2室1厅 , 70.9平米 , 南 , 毛坯 , 中楼层,共32层, 板楼
刚需2房 业主诚心卖，钥匙在我手上，随时看房，楼层好,周新苑四期 ,万象城/东绛, 67万,"9,047元/平",2室1厅 , 74.06平米 , 南 , 精装 , 中楼层,共32层, 板楼
中海珑玺三房底价出售 看房预约,中海珑玺 ,塘铁桥, 169万,"18,173元/平",3室2厅 , 93平米 , 南 , 简装 , 中楼层,共34层, 板楼
落霞苑简装小两房，房型好，出入方便,落霞苑第二社区 ,塘铁桥, 72万,"9,690元/平",2室1厅 , 74.31平米 , 南 , 简装 , 低楼层,共11层, 板楼
总高8层洋房，户型设计合理，空间实用性高，精装修！,魅力万科城二区 ,万象城/东绛, 280万,"21,433元/平",3室2厅 , 130.64平米 , 南 , 精装 , 中楼层,共8层, 板楼
尚锦城C区 3室2厅 南,尚锦城C区 ,塘铁桥, 215万,"15,559元/平",3室2厅 , 138.19平米 , 南 , 精装 , 高楼层,共24层, 板楼
美湖家园单间中间好楼层家装未住过人采光好,美湖家园 ,湖滨商业街, 59.8万,"11,247元/平",1室1厅 , 53.17平米 , 西南 , 简装 , 中楼层,共6层, 板楼
滨湖区 融创文化旅游城 业主急卖108平清水大三房,融创•荣域 ,融创文化旅游城, 120万,"11,112元/平",3室2厅 , 108平米 , 南 , 毛坯 , 中楼层,共34层, 板楼
低密小区！不靠路全天采光！高楼层自住精装保养佳！,太湖国际二街区-星辉塞纳 ,万象城/东绛, 185万,"20,563元/平",2室1厅 , 89.97平米 , 南 , 精装 , 高楼层,共18层, 板楼
周新苑，纯边户拐角窗近地铁，满五少税，诚售,周新苑四期 ,万象城/东绛, 100万,"10,692元/平",2室1厅 , 93.53平米 , 南 , 精装 , 中楼层,共11层, 板楼
水秀新村简装2房5楼采光无遮挡随时可以看房,水秀新村 ,新体育中心, 53万,"10,082元/平",2室1厅 , 52.57平米 , 南 , 简装 , 高楼层,共6层, 板楼
无个税 位置好 安静舒适 采光无遮 原自住保养完好,蠡湖一号 ,蠡湖新城, 300万,"25,245元/平",3室2厅 , 118.84平米 , 南 , 精装 , 中楼层,共25层, 板楼
近海岸城 满五唯一 可看太湖 两房朝南 诚心急售,贡湖苑 ,融创文化旅游城, 69万,"7,683元/平",2室1厅 , 89.82平米 , 南 , 简装 , 中楼层,共15层, 板塔结合
尚锦城B区 前排小高层 采光视野好 看房随时 业主诚售,尚锦城B区 ,塘铁桥, 188万,"15,609元/平",3室1厅 , 120.45平米 , 南 北 , 简装 , 高楼层,共8层, 板楼
口碑小区！万科翡翠之光！全新装修未入住！楼层位置好,万科·翡翠之光 ,塘铁桥, 288万,"29,373元/平",3室2厅 , 98.05平米 , 南 , 精装 , 中楼层,共27层, 板楼
央企 中海精装3房 满五唯一 中间楼层 后排 采光无遮挡,中海珑玺 ,塘铁桥, 225万,"20,700元/平",3室2厅 , 108.7平米 , 南 北 , 精装 , 高楼层,共25层, 板楼
配套齐全，市政府西侧，环境优美，次顶楼，宰相楼层,融科玖瑞尚城 ,海岸城/市民中心, 258万,"16,574元/平",3室2厅 , 155.67平米 , 北 南 , 精装 , 高楼层,共33层, 板楼
周新苑四期 4室2厅 南 北,周新苑四期 ,万象城/东绛, 125万,"9,159元/平",4室2厅 , 136.49平米 , 南 北 , 简装 , 低楼层,共18层, 板楼
统装带地暖小三房 中间楼层视野采光好 有钥匙随时可看,富力十号C区 ,万象城/东绛, 215万,"22,697元/平",3室2厅 , 94.73平米 , 南 , 精装 , 高楼层,共21层, 板楼
房东精装自住，看房方便，采光无遮挡，价格包土出。,美湖家园 ,湖滨商业街, 122万,"13,820元/平",2室2厅 , 88.28平米 , 南 北 , 精装 , 低楼层,共6层, 板楼
保利香槟国际 带装修两房 长广溪旁 楼层好,保利香槟国际 ,长广溪/大学城, 180万,"20,662元/平",1室2厅 , 87.12平米 , 南 , 精装 , 中楼层,共11层, 板楼
中海精装40万三房 可视太湖 全天采光 拎包入住,中海凤凰璟园一期 ,华庄, 239万,"20,034元/平",3室2厅 , 119.3平米 , 南 北 , 精装 , 中楼层,共33层, 板楼
保利香槟国际 一梯两户，得房率高，楼层好，采光好,保利香槟国际 ,长广溪/大学城, 178万,"18,915元/平",3室1厅 , 94.11平米 , 南 , 毛坯 , 低楼层,共11层, 板楼
"梁溪河边,楼梯房低楼层，得房率高",月溪苑 ,新体育中心, 135万,"10,841元/平",3室1厅 , 124.53平米 , 南 , 简装 , 低楼层,共6层, 板楼
观山名筑精装两房 无遮挡采光充足 诚心出售 看房方便,观山名筑 ,塘铁桥, 130万,"15,255元/平",2室1厅 , 85.22平米 , 南 , 精装 , 低楼层,共27层, 板楼
育英+金桥，融创兰园精装三房，户型通透，景观太湖,融创•兰园 ,融创文化旅游城, 174万,"14,615元/平",3室2厅 , 119.06平米 , 南 , 精装 , 中楼层,共32层, 板楼
融创朗山 品质好 装修好 有密码 随时看,融创•朗山 ,融创文化旅游城, 159万,"13,227元/平",3室2厅 , 120.21平米 , 南 , 精装 , 低楼层,共34层, 板楼
融创•兰园 3室2厅 南 北,融创•兰园 ,融创文化旅游城, 176万,"14,913元/平",3室2厅 , 118.02平米 , 南 北 , 精装 , 高楼层,共34层, 板楼
地铁四号线旁 蠡湖新城大平层 纯毛坯 已满五年,蠡湖壹号丽苑 ,蠡湖新城, 437万,"24,848元/平",4室2厅 , 175.87平米 , 南 , 毛坯 , 低楼层,共33层, 板塔结合
央企开发商 珑玺小高层 毛坯三房 配套齐全 随时看房,中海珑玺 ,塘铁桥, 148万,"16,688元/平",3室1厅 , 88.69平米 , 南 , 毛坯 , 高楼层,共15层, 板楼
20多万婚房装修  自住保养新   采光好  诚心出售,中海珑玺 ,塘铁桥, 180万,"20,205元/平",3室1厅 , 89.09平米 , 南 , 精装 , 高楼层,共34层, 板楼
融创兰园中间位置 中楼层 得房率79%  业主自住,融创•兰园 ,融创文化旅游城, 182万,"15,729元/平",3室2厅 , 115.71平米 , 南 , 精装 , 中楼层,共32层, 板楼
急售！大四房 万达广场旁 溪北新村二楼 有20平大露台,溪北新村南区 ,河埒口, 139万,"9,697元/平",4室2厅 , 143.35平米 , 南 , 简装 , 低楼层,共7层, 板楼
中海凤凰璟园二期 清水毛坯 双阳台  通透三房,中海凤凰璟园二期 ,华庄, 295万,"25,742元/平",3室2厅 , 114.6平米 , 南 北 , 毛坯 , 高楼层,共11层, 板楼
高窗墙比落地大窗 一梯两户 得房率高 全屋采光通透,天鹅湖花园A区 ,长广溪/大学城, 248万,"16,857元/平",3室2厅 , 147.12平米 , 南 北 , 毛坯 , 高楼层,共9层, 板楼
房东诚心出售价格可谈精准三房中上楼层,融创蓝山印象 ,融创文化旅游城, 153万,"14,685元/平",3室2厅 , 104.19平米 , 南 北 , 精装 , 高楼层,共18层, 板楼
落霞苑三社区洋房二楼，毛坯，有储藏室,落霞苑第三社区 ,塘铁桥, 105万,"11,311元/平",2室1厅 , 92.83平米 , 南 , 毛坯 , 低楼层,共6层, 板楼
