标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
梅里香舍电梯一室 保养好 满五唯一税少,梅里香舍 ,梅村, 65万,"12,496元/平",1室1厅 , 52.02平米 , 南 , 简装 , 低楼层,共18层, 板楼
首付低 菜场边 精装修 两房朝南 买点家具直接可以入住,叙丰家园 ,江溪, 102万,"10,962元/平",2室2厅 , 93.05平米 , 南 , 精装 , 高楼层,共6层, 板楼
金科米兰花园 诚心出售 采光视野好 随时看房,尔家公寓 ,江溪, 23万,"6,217元/平",1室1厅 , 37平米 , 北 , 精装 , 高楼层,共33层, 板楼
房子诚心出售看房有钥匙，价格可刀,南星苑 ,硕放, 38万,"6,041元/平",2室1厅 , 62.91平米 , 南 , 简装 , 中楼层,共7层, 板楼
梅荆花苑一期包土出诚心出售看房方便,梅荆花苑一、二期 ,梅村, 68.8万,"10,916元/平",2室2厅 , 63.03平米 , 南 , 精装 , 低楼层,共6层, 板楼
中 央空调加地暖 次新房 户型方正 采光好,太湖雍华府 ,新安, 229万,"19,807元/平",3室2厅 , 115.62平米 , 南 , 精装 , 中楼层,共23层, 暂无数据
一梯一户，6米横厅双阳台，四开间朝南，zy空调+地暖,远洋太湖宸章 ,新安, 275万,"22,608元/平",3室2厅 , 121.64平米 , 南 北 , 精装 , 中楼层,共16层, 板楼
国信二期全屋地暖，中Y空调，全屋定制精装低价出售,国信世家璞园 ,坊前, 168万,"14,180元/平",3室2厅 , 118.48平米 , 南 , 精装 , 高楼层,共32层, 板楼
永胜新村，中间楼层，房东诚心出售看中可谈,永胜新村 ,塘南, 72万,"17,587元/平",1室1厅 , 40.94平米 , 南 , 简装 , 中楼层,共6层, 暂无数据
好楼层视野开阔两开间精装修诚心出售,启迪协信·壹克拉 ,新安, 35万,"5,215元/平",2室1厅 , 67.12平米 , 南 , 精装 , 中楼层,共26层, 板楼
自住好房， 采光刺眼 精装大两房 满五唯一,新港公寓(新吴区) ,旺庄, 82万,"9,011元/平",2室1厅 , 91平米 , 南 北 , 精装 , 高楼层,共26层, 板塔结合
新上大三房 精装修 小区中、心位置采光好,融侨观邸二期 ,江溪, 193万,"15,139元/平",3室2厅 , 127.49平米 , 南 北 , 精装 , 低楼层,共33层, 板楼
此房采光好 婚装房 中间楼层 价格可刀 拎包入住,融侨观邸二期 ,江溪, 108万,"14,017元/平",2室2厅 , 77.05平米 , 北 南 , 精装 , 高楼层,共31层, 板楼
采光无遮挡（业主诚心出售）保养好,中海寰宇天下西区 ,坊前, 135万,"15,200元/平",3室2厅 , 88.82平米 , 南 , 精装 , 低楼层,共34层, 板楼
4楼 边套 沿河景观 中空+地暖+新风系统 带车位,太湖花园二期 ,江溪, 169万,"13,963元/平",3室2厅 , 121.04平米 , 南 , 精装 , 中楼层,共6层, 板楼
高区湖景房，视野好，3房2卫，房型方正双阳台,太湖雍华府 ,新安, 168万,"16,953元/平",3室2厅 , 99.1平米 , 南 北 , 毛坯 , 中楼层,共24层, 板楼
华润江南府洋房 荟聚地铁口 中间楼层带一个车位急售,华润江南府南区 ,东亭, 210万,"18,118元/平",4室2厅 , 115.91平米 , 南 北 , 毛坯 , 中楼层,共8层, 板楼
万科洋房3房  房东急售看房提前约,万科金域缇香西区 ,江溪, 200万,"18,868元/平",3室2厅 , 106平米 , 南 北 , 精装 , 中楼层,共10层, 板楼
坊前 新之城东边的 商品房 标准2室 看房方便 采光足,万裕苑二区 ,坊前, 79万,"11,954元/平",2室1厅 , 66.09平米 , 南 北 , 精装 , 高楼层,共6层, 板楼
万科精准小两室，楼层好，采光无遮挡，随时看价格可谈,万科维园 ,梅村, 108万,"12,584元/平",2室1厅 , 85.83平米 , 南 北 , 精装 , 高楼层,共28层, 塔楼
业主自住，装修保养好，中间楼层，随时可看房,富力城C区 ,江溪, 169万,"15,497元/平",3室2厅 , 109.06平米 , 南 , 精装 , 中楼层,共32层, 板楼
保利精装婚房，装修两年多，偶尔住一下保养相当好急售,保利中央公园 ,江溪, 178万,"20,232元/平",3室2厅 , 87.98平米 , 南 北 , 精装 , 中楼层,共34层, 板楼
次新小区，视野好，全天采光，精装修可以拎包入住,美新玫瑰庄园 ,坊前, 116万,"12,924元/平",3室2厅 , 89.76平米 , 南 北 , 精装 , 低楼层,共30层, 板楼
满五唯一不靠高架，自住装修，中高楼层，采光好,新城香溢紫峻园 ,江溪, 95万,"13,122元/平",3室1厅 , 72.4平米 , 南 , 精装 , 低楼层,共34层, 板塔结合
四开间朝南  次新房   双阳台  精装修,吴樾东方 ,梅村, 272万,"19,654元/平",4室2厅 , 138.4平米 , 南 , 精装 , 中楼层,共7层, 暂无数据
清水毛坯 洋房中等楼层 采光视野无遮挡 诚诚诚,太湖雍华府 ,新安, 220万,"19,892元/平",3室2厅 , 110.6平米 , 南 , 毛坯 , 中楼层,共8层, 暂无数据
庄桥站（纯毛坯）业主诚心出售人车分流小区看房方便,华宇·观澜华府 ,坊前, 118万,"12,342元/平",4室2厅 , 95.61平米 , 南 , 毛坯 , 低楼层,共33层, 板楼
叙康里二楼 自住装修 方正三房 有钥匙 看房随时,叙康里 ,江溪, 85万,"9,861元/平",3室2厅 , 86.2平米 , 南 , 简装 , 低楼层,共7层, 板楼
上品花园 精装2+1  保养好 诚心出  随时看房！,上品花园 ,梅村, 125万,"13,189元/平",2室2厅 , 94.78平米 , 南 北 , 精装 , 高楼层,共27层, 板楼
富力桃园三房89平，三开间朝南户型，看房有钥匙！,富力桃园 ,旺庄, 118万,"13,170元/平",3室2厅 , 89.6平米 , 南 , 简装 , 中楼层,共32层, 板楼
新区站旁三四号线双地铁口刚交付正大带地暖三房出售,正大万物城 ,生态园, 116万,"12,030元/平",3室2厅 , 96.43平米 , 南 , 精装 , 高楼层,共22层, 暂无数据
大润发旁 金海里小两房 中间楼层 采光充足 诚心出售,金海里 ,江溪, 58万,"9,903元/平",2室1厅 , 58.57平米 , 南 , 简装 , 中楼层,共7层, 板塔结合
中间楼层3楼，采光无遮挡，小区位置好，品质物业,叙成里 ,江溪, 78万,"11,623元/平",2室1厅 , 67.11平米 , 南 , 精装 , 中楼层,共7层, 板楼
万达瑞城花园南北两房 有钥匙 中间楼层采光好,瑞城花园 ,旺庄, 105万,"11,785元/平",2室2厅 , 89.1平米 , 南 , 精装 , 低楼层,共18层, 塔楼
新小区 龙湖物业 不靠铁路 边套 诚心出售 产权清晰,正大万物城 ,生态园, 105万,"10,813元/平",3室2厅 , 97.11平米 , 南 北 , 毛坯 , 中楼层,共22层, 暂无数据
梅荆花苑 小两房 楼层好 视野开阔，户型方正 诚心出售,梅荆花苑一、二期 ,梅村, 53万,"8,478元/平",2室1厅 , 62.52平米 , 南 北 , 简装 , 中楼层,共7层, 板楼
地铁2号线 中邦欢乐颂 精装小户型 有密码随时看,中邦·欢乐颂 ,坊前, 37万,"9,148元/平",2室1厅 , 40.45平米 , 北 , 精装 , 高楼层,共23层, 板楼
长江国际雅园入户花园九层到顶洋房电梯入户全屋地暖,长江国际雅园 ,江溪, 260万,"19,874元/平",3室2厅 , 130.83平米 , 南 , 精装 , 中楼层,共9层, 板塔结合
太湖边精装大俩房，诚售价格可议,领秀琥珀澜湾 ,新安, 133万,"15,344元/平",2室1厅 , 86.68平米 , 东南 , 精装 , 中楼层,共18层, 板塔结合
诚心出售，楼层采光良好，急售！,华宇·观澜华府 ,坊前, 129.5万,"13,545元/平",4室2厅 , 95.61平米 , 南 , 精装 , 高楼层,共33层, 板楼
南北通透边套，满五唯一，景观楼层大落地窗，采光很好,香珺苑 ,梅村, 150万,"11,903元/平",3室2厅 , 126.02平米 , 南 北 , 精装 , 高楼层,共12层, 板楼
小高层 视野开阔 精装修 诚心出售,国信世家璞园 ,坊前, 180万,"15,135元/平",3室2厅 , 118.93平米 , 南 北 , 精装 , 高楼层,共18层, 板楼
现房小三房  正大万物城 龙湖物业 新区站旁 只要163万,正大万物城 ,生态园, 114万,"12,741元/平",3室2厅 , 89.48平米 , 南 北 , 精装 , 中楼层,共20层, 板塔结合
叙康里两房，4楼，全明户型，通风采光好，诚售,叙康里 ,江溪, 76万,"11,611元/平",2室1厅 , 65.46平米 , 南 , 精装 , 中楼层,共7层, 板楼
保利吴樾东方+品质楼盘+户型方正+电梯中层+诚心出售,吴樾东方 ,梅村, 145万,"14,684元/平",3室2厅 , 98.75平米 , 南 , 精装 , 高楼层,共30层, 板楼
尚东雅园 三房精装修中间楼层 靠宝龙广场,尚东雅园 ,旺庄, 148万,"13,636元/平",3室2厅 , 108.54平米 , 南 , 精装 , 中楼层,共34层, 板楼
新上，上品花园洋房纯毛胚，总价划算，看房方便,上品花园 ,梅村, 176万,"17,301元/平",4室2厅 , 101.73平米 , 南 北 , 毛坯 , 中楼层,共8层, 板楼
金科米兰花园 近公园 近菜场 诚心出售 随时看房,尔家公寓 ,江溪, 38万,"6,491元/平",2室1厅 , 58.55平米 , 南 , 精装 , 低楼层,共32层, 板楼
朗诗·青春未来家园 3室2厅 南,朗诗·青春未来家园 ,新安, 139万,"15,917元/平",3室2厅 , 87.33平米 , 南 , 精装 , 低楼层,共18层, 板楼
尚东雅园纯毛坯，房东诚心出售。,尚东雅园 ,旺庄, 170万,"12,882元/平",3室2厅 , 131.97平米 , 南 , 毛坯 , 中楼层,共34层, 板楼
采光很好！环境优美！业主换房诚售,长江国际泓园 ,江溪, 185万,"14,261元/平",3室2厅 , 129.73平米 , 南 , 精装 , 高楼层,共30层, 板楼
保养好，可以拎包入住，离3号线近，交通方便,香山名园 ,旺庄, 47.9万,"11,122元/平",1室1厅 , 43.07平米 , 南 , 精装 , 高楼层,共36层, 板楼
新之城旁  电梯洋房社区 环境好,新城金郡 ,坊前, 144万,"15,605元/平",3室2厅 , 92.28平米 , 南 , 毛坯 , 中楼层,共8层, 板楼
万达美华里旁，小区环境优，毛坯交付洋房,金融街金悦府 ,鸿山, 160万,"14,296元/平",4室2厅 , 111.92平米 , 南 , 毛坯 , 中楼层,共11层, 暂无数据
南北通效果好格局也好，采光充足，一梯两户，配套齐全,锦江苑 ,江溪, 137万,"11,266元/平",3室2厅 , 121.61平米 , 南 , 精装 , 中楼层,共7层, 板楼
小区C位 远离高架 诚心出售 看房方便,新城香溢紫峻园 ,江溪, 103万,"13,927元/平",3室1厅 , 73.96平米 , 南 , 精装 , 低楼层,共34层, 板楼
房东自住装修小三房   空中花园 得房率高,瑞城花园 ,旺庄, 118万,"13,582元/平",3室2厅 , 86.88平米 , 南 , 精装 , 中楼层,共25层, 板楼
金科中心 精装修2房 直线距离地铁站500米 诚心出售,金科中心 ,塘南, 125万,"15,265元/平",2室2厅 , 81.89平米 , 南 , 精装 , 低楼层,共34层, 板楼
电梯房，中间楼层，随时可看，诚心出售,泰伯花苑五区 ,梅村, 72万,"7,828元/平",2室1厅 , 91.98平米 , 南 , 简装 , 中楼层,共11层, 板楼
荟聚旁，绿化高，人车分流，上等三房,华润江南府南区 ,东亭, 149万,"13,550元/平",3室2厅 , 109.97平米 , 南 , 毛坯 , 高楼层,共34层, 板楼
景南苑 一楼带双院  三房 位置好 采光好,景南苑 ,江溪, 95万,"10,851元/平",3室2厅 , 87.55平米 , 南 , 简装 , 低楼层,共7层, 板楼
国际一花园新装修大三房 看房方便,国际一花园 ,坊前, 158万,"10,920元/平",3室2厅 , 144.7平米 , 南 北 , 精装 , 高楼层,共34层, 板楼
精装修 大三房  全屋地暖  楼层好  采光无遮挡,融侨观邸二期 ,江溪, 169万,"14,625元/平",3室2厅 , 115.56平米 , 东南 北 , 精装 , 高楼层,共33层, 板楼
新吴区万达瑞城花园精装修四房 带露台,瑞城花园 ,旺庄, 158万,"11,854元/平",4室1厅 , 133.29平米 , 南 , 精装 , 低楼层,共11层, 板楼
2楼 满五唯一税少 看房方便  看房随时！诚心出售！,叙丰里 ,江溪, 70万,"10,536元/平",2室1厅 , 66.44平米 , 南 , 简装 , 低楼层,共6层, 板楼
正大1期 诚心出售 不靠马路 边套 户型正 3阳台 诚心售,正大万物城 ,生态园, 105万,"11,543元/平",3室2厅 , 90.97平米 , 南 北 , 毛坯 , 中楼层,共22层, 暂无数据
一楼半有抬高，业主自住用房，保养好，带汽车车库。,叙丰家园 ,江溪, 115万,"8,899元/平",3室2厅 , 129.23平米 , 南 , 精装 , 低楼层,共6层, 板楼
正大小三房中间楼层新区高铁新区地铁毛坯房,正大万物城 ,生态园, 99.5万,"11,001元/平",3室1厅 , 90.45平米 , 南 , 毛坯 , 中楼层,共21层, 板楼
去年新装修 三开间朝南双阳台 有地暖 采光好 中间楼层,万科金域缇香西区 ,江溪, 175万,"16,182元/平",3室2厅 , 108.15平米 , 南 , 精装 , 高楼层,共34层, 板楼
二期中间楼层，三开间朝南，双卫，房东诚心出售,国际一花园 ,坊前, 135万,"10,462元/平",3室2厅 , 129.04平米 , 南 , 精装 , 中楼层,共33层, 板楼
电梯小高层 不靠兴昌路 采光很不错！看房方便,叙丰家园 ,江溪, 116万,"8,274元/平",3室2厅 , 140.21平米 , 南 , 毛坯 , 中楼层,共18层, 板楼
万科物业，开发商统装，高层采光好，不靠具区路,万科观湖礼著 ,新安, 179万,"18,264元/平",3室2厅 , 98.01平米 , 南 北 , 精装 , 高楼层,共28层, 板楼
精装修拎包入住采光无遮挡看中价格可谈,美新玫瑰庄园 ,坊前, 128万,"14,049元/平",3室2厅 , 91.11平米 , 南 , 精装 , 中楼层,共30层, 板楼
长江路 地铁口 润泽雅居 碧桂园物业 前排 采光好,润泽雅居 ,旺庄, 130万,"10,967元/平",3室2厅 , 118.54平米 , 南 , 简装 , 高楼层,共34层, 板楼
位置好，楼层好，价格还能谈，比租房子合适,尔家公寓 ,江溪, 19.5万,"5,476元/平",1室1厅 , 35.61平米 , 北 , 简装 , 高楼层,共33层, 板楼
融侨一期 电梯洋房 带花园 带地下室 有钥匙 看房随时,融侨观邸一期 ,江溪, 340万,"15,890元/平",4室2厅 , 213.98平米 , 南 北 , 毛坯 , 低楼层,共6层, 板楼
急售太湖花园三期电梯房，楼层好房东诚心出售价格能谈,太湖花园三期 ,江溪, 119万,"7,842元/平",3室2厅 , 151.75平米 , 南 , 简装 , 中楼层,共11层, 板楼
三开间朝南 装修不错 房东自住 诚心出售,富力桃园 ,旺庄, 138万,"15,580元/平",3室2厅 , 88.58平米 , 南 , 精装 , 中楼层,共32层, 板楼
联心嘉园精装两室，土出已交，楼层好，随时看，可谈价,联心嘉园 ,梅村, 89万,"11,559元/平",2室1厅 , 77平米 , 南 北 , 精装 , 低楼层,共18层, 板楼
富力桃园 3室2厅 南 北,富力桃园 ,旺庄, 138万,"15,626元/平",3室2厅 , 88.32平米 , 南 北 , 精装 , 高楼层,共27层, 板楼
纯毛坯两房朝南户型，总高11楼中间户，看房有钥匙。,春城家园B区 ,江溪, 65万,"7,130元/平",2室1厅 , 91.17平米 , 东南 , 毛坯 , 中楼层,共13层, 板楼
急售，急售，急售龙湖大平层，精装修随时看房价格好谈,龙湖滟澜山 ,新安, 230万,"14,164元/平",4室2厅 , 162.39平米 , 南 , 精装 , 低楼层,共16层, 板塔结合
小区房龄新，户型正气，采光好，价格也美丽，钥匙看房,美新玫瑰庄园4期 ,坊前, 118万,"13,356元/平",3室2厅 , 88.35平米 , 东南 南 , 毛坯 , 低楼层,共25层, 板塔结合
此房满五唯一中间楼层采光好无遮挡,瑞城花园 ,旺庄, 158万,"12,970元/平",4室1厅 , 121.82平米 , 南 , 精装 , 中楼层,共25层, 板塔结合
户型方正，正规三房，没有遮挡。有车位,碧桂园梅公馆 ,梅村, 138万,"13,615元/平",3室2厅 , 101.36平米 , 南 , 精装 , 低楼层,共21层, 板楼
婚装大2房，全明户型 ，小区位置好，客厅带窗户,叙康里 ,江溪, 96万,"11,698元/平",2室2厅 , 82.07平米 , 南 , 精装 , 中楼层,共7层, 板楼
新上满五唯一 博客公寓商品房 金桥旁 精装修诚心卖,博客公寓 ,江溪, 110万,"10,468元/平",3室2厅 , 105.09平米 , 南 , 精装 , 高楼层,共33层, 板楼
高浪嘉园精装小三房，位置好楼层好，诚心出售,高浪嘉园 ,旺庄, 85万,"9,212元/平",3室2厅 , 92.28平米 , 南 , 精装 , 低楼层,共6层, 板楼
小高层，中间楼层，自带幼儿园，看房方便,国信世家璞园 ,坊前, 160万,"14,379元/平",3室2厅 , 111.28平米 , 南 , 精装 , 中楼层,共18层, 板楼
商品房 无土出 有电梯 中间楼层 业主诚心出售看房随时,春城家园A区 ,江溪, 135万,"10,732元/平",3室2厅 , 125.8平米 , 南 北 , 毛坯 , 中楼层,共12层, 板楼
长江路地铁口尚东雅园满五唯一无个税诚心出售,尚东雅园 ,旺庄, 160万,"14,742元/平",3室1厅 , 108.54平米 , 南 , 精装 , 高楼层,共34层, 板楼
高浪嘉园 精装修2室 维护保养好 拎包入住 采光不影响,高浪嘉园 ,旺庄, 57万,"7,873元/平",2室2厅 , 72.4平米 , 南 , 精装 , 低楼层,共6层, 板楼
金海里 边套 客厅带窗户 中楼层  采光刺眼 户型正气,金海里 ,江溪, 42万,"9,086元/平",1室1厅 , 46.23平米 , 南 , 简装 , 中楼层,共7层, 板塔结合
满五唯一无个税、开发商统装，带中 央空调和新风系统,朗诗绿色家园二期 ,新安, 198万,"15,558元/平",3室2厅 , 127.27平米 , 南 , 精装 , 高楼层,共23层, 板楼
太湖花园精装大两房 二楼 商品房  看房方便,太湖花园二期 ,江溪, 91万,"10,442元/平",2室2厅 , 87.15平米 , 南 北 , 精装 , 低楼层,共6层, 板楼
富力城A区小三房满5唯一免个税一楼大花园带地下室,富力城A区 ,江溪, 160万,"18,994元/平",3室2厅 , 84.24平米 , 南 , 简装 , 低楼层,共32层, 板楼
万科品牌开发 值得相信 精装修 可拎包入,万科观湖礼著 ,新安, 170万,"16,862元/平",3室2厅 , 100.82平米 , 南 北 , 精装 , 高楼层,共28层, 暂无数据
万科品牌开发 值得相信 精装修，湖景房，诚心出售,万科观湖礼著 ,新安, 370万,"23,612元/平",4室2厅 , 156.7平米 , 南 , 精装 , 高楼层,共18层, 板楼
二号线庄桥站旁中邦自住三室两卫大三房出售 户型漂亮,中邦城市花园 ,坊前, 165万,"12,775元/平",3室2厅 , 129.16平米 , 南 北 , 精装 , 高楼层,共32层, 板楼
满五年 中间楼层 业主自己住的 很诚心出售 保养很好,润泽雅居 ,旺庄, 52万,"13,413元/平",1室1厅 , 38.77平米 , 南 , 精装 , 中楼层,共18层, 塔楼
香山名园两房 婚装 楼层好 采光好 诚售 价可谈,香山名园 ,旺庄, 95万,"10,229元/平",2室2厅 , 92.88平米 , 南 , 精装 , 中楼层,共36层, 板楼
业主诚心出售 次顶楼 采光好 看房方便,太湖雍华府 ,新安, 191.8万,"16,589元/平",3室2厅 , 115.62平米 , 南 , 毛坯 , 高楼层,共23层, 板楼
品质次新小区精装修三房 位置好楼层佳 看房方便,中海寰宇天下西区 ,坊前, 138万,"15,538元/平",3室2厅 , 88.82平米 , 南 , 精装 , 中楼层,共34层, 板楼
大平层 使用面积高 可拎包入住 欧式装修风格,花样年花郡 ,坊前, 195万,"14,488元/平",4室1厅 , 134.6平米 , 南 北 , 精装 , 高楼层,共26层, 塔楼
地铁口 金海里 中间楼层 诚售 看房方便,金海里 ,江溪, 69.8万,"10,314元/平",2室1厅 , 67.68平米 , 南 , 简装 , 中楼层,共7层, 板塔结合
万达旁瑞城花园精装小三房，楼层佳，采光好，随时看房,瑞城花园 ,旺庄, 103万,"11,856元/平",3室1厅 , 86.88平米 , 南 , 精装 , 中楼层,共25层, 板楼
瑞城花园 中低楼层 近地铁和高新万达 配套成熟 诚售,瑞城花园 ,旺庄, 102万,"11,750元/平",2室2厅 , 86.81平米 , 东南 , 简装 , 低楼层,共17层, 板塔结合
中邦城市花园 2室1厅 南,中邦城市花园 ,坊前, 100万,"11,148元/平",2室1厅 , 89.71平米 , 南 , 精装 , 低楼层,共28层, 板楼
太湖花园二期三房，双卫，楼栋位置好，楼层好，诚心卖,太湖花园二期 ,江溪, 120万,"10,902元/平",3室2厅 , 110.08平米 , 南 , 精装 , 中楼层,共6层, 板楼
长江路 地铁口 尚东雅园 中间楼层 采光好 房东诚心卖,尚东雅园 ,旺庄, 112万,"13,327元/平",2室2厅 , 84.04平米 , 南 , 简装 , 低楼层,共34层, 板楼
次新小区，满五唯一税费少，价格带个9万产权车位,富力城A区 ,江溪, 134万,"15,126元/平",3室2厅 , 88.59平米 , 南 , 精装 , 中楼层,共29层, 板楼
前排！视野开阔！采光很好！环境优美！业主诚售！,长江国际泓园 ,江溪, 132万,"14,718元/平",2室1厅 , 89.69平米 , 南 , 精装 , 中楼层,共33层, 板楼
小区前排无遮挡，好楼层，诚心出售！可拎包入住！,富力城D区 ,江溪, 177万,"16,150元/平",3室1厅 , 109.6平米 , 东南 南 , 精装 , 高楼层,共32层, 板楼
地铁口金域缇香精装两房客厅主卧朝南此卧朝北拎包入住,万科金域缇香西区 ,江溪, 130万,"15,273元/平",2室2厅 , 85.12平米 , 南 , 精装 , 高楼层,共34层, 板楼
地铁口200米  金科中心 毛坯大三房 中间层 看房有钥匙,金科中心 ,塘南, 187万,"13,733元/平",3室1厅 , 136.17平米 , 南 , 简装 , 中楼层,共23层, 板楼
婚房推荐！碧桂园边套中高楼层---边套全天候采光,碧桂园梅公馆 ,梅村, 135万,"13,347元/平",3室2厅 , 101.15平米 , 南 北 , 精装 , 高楼层,共25层, 塔楼
通燃气，五米挑高.精装修，房东诚心卖 价格可谈,五洲国际工业博览城 ,坊前, 35万,"7,933元/平",2室1厅 , 44.12平米 , 北 , 精装 , 中楼层,共12层, 塔楼
新城公园边上，婚装两室一厅，全小区性 价 比之醉,融侨观邸二期 ,江溪, 99.8万,"12,953元/平",2室1厅 , 77.05平米 , 南 , 精装 , 高楼层,共31层, 板楼
长江国际雅园 精装修 品质物业管理  采光充足,长江国际雅园 ,江溪, 89万,"14,157元/平",1室1厅 , 62.87平米 , 南 , 精装 , 中楼层,共29层, 板塔结合
精装3室 不靠高架 中间楼层 小区首套好房！,清枫华景 ,梅村, 124.8万,"13,557元/平",3室2厅 , 92.06平米 , 南 , 精装 , 高楼层,共18层, 塔楼
叙康路新上双南两室，低楼层老少皆宜，边套全明户型。,叙丰家园 ,江溪, 59万,"6,413元/平",2室2厅 , 92.01平米 , 南 , 简装 , 低楼层,共18层, 板楼
万科物业，小高层，开发商装修未住人，三开间朝南,万科观湖礼著 ,新安, 178万,"18,156元/平",3室2厅 , 98.04平米 , 南 , 精装 , 中楼层,共18层, 暂无数据
自住精装修  位置好 视野采光无遮挡 诚心出售,领秀琥珀澜湾 ,新安, 131万,"15,485元/平",2室1厅 , 84.6平米 , 南 , 精装 , 中楼层,共18层, 板楼
美新玫瑰 精装修 房东诚心出售 家具家电全留,美新玫瑰庄园 ,坊前, 117万,"13,480元/平",2室2厅 , 86.8平米 , 南 北 , 精装 , 低楼层,共21层, 板楼
央企品质中海打造 自住精装修三房 户型正 配套齐全,中海寰宇天下东区 ,坊前, 134万,"15,096元/平",3室2厅 , 88.77平米 , 南 , 精装 , 高楼层,共34层, 板楼
地铁口 满五唯一  采光无遮挡 急售,尚东雅园 ,旺庄, 112万,"13,327元/平",2室2厅 , 84.04平米 , 南 , 精装 , 低楼层,共34层, 板楼
融创森邻边套三房89平，急售看中价格可谈，看房方便！,融创森邻森邻 ,生态园, 96万,"10,709元/平",3室2厅 , 89.65平米 , 南 , 毛坯 , 低楼层,共32层, 板楼
经典装修，带电梯的，采光好，看房提前预约,太湖花园一期 ,江溪, 107万,"10,488元/平",3室2厅 , 102.03平米 , 南 , 精装 , 中楼层,共6层, 板楼
金海里好房出售 采光无遮挡，视野好，小区位置好，,金海里 ,江溪, 73万,"10,940元/平",2室1厅 , 66.73平米 , 南 西 , 精装 , 高楼层,共7层, 板塔结合
臻园蕞便宜一套满五唯一.单价低,长江国际臻园 ,江溪, 190万,"16,026元/平",3室1厅 , 118.56平米 , 南 , 精装 , 高楼层,共31层, 板楼
商品房 无土出 房东自住精装小三房 户型方正,欧典家园北区 ,江溪, 109万,"11,618元/平",3室2厅 , 93.82平米 , 南 , 精装 , 低楼层,共23层, 板楼
满五年，九宫馆中间楼层，诚心卖看房提前联系,长江国际泓园 ,江溪, 255万,"19,466元/平",4室2厅 , 131平米 , 南 北 , 简装 , 中楼层,共9层, 板楼
梅荆花苑土出已交 商品房性质 梅里古镇旁 南北透诚售,梅荆花苑一、二期 ,梅村, 110万,"8,869元/平",3室2厅 , 124.03平米 , 南 , 简装 , 高楼层,共6层, 暂无数据
满五唯一 税少 空置 保养好 看房方便,国信世家璞园 ,坊前, 115万,"12,929元/平",2室2厅 , 88.95平米 , 南 , 精装 , 低楼层,共24层, 板楼
商品房 无土出 看房方便 业主诚心出售,前进花园 ,江溪, 90万,"10,609元/平",2室1厅 , 84.84平米 , 南 , 简装 , 高楼层,共6层, 板楼
"带地暖边套,业主诚信出售！价格看中可谈，采光好。",美新玫瑰庄园 ,坊前, 129万,"14,826元/平",2室1厅 , 87.01平米 , 南 , 精装 , 中楼层,共21层, 板楼
